"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","volcano_treshold"
"ENSG00000087152",15.5508950633179,-0.321331171334176,0.428656976652654,-0.749623099204925,0.453481734709976,0.820559282944177,"ATXN7L3","no","no"
"ENSG00000087157",87.4739408143063,0.127611503885856,0.191105236007034,0.667755141367028,0.504289905342358,0.849467737435459,"PGS1","no","no"
"ENSG00000087191",431.690811064562,-0.0646589318583466,0.138297245360061,-0.467535934573426,0.640116488722367,0.908774696332373,"PSMC5","no","no"
"ENSG00000087206",87.958559357291,0.327190522008356,0.19266161495334,1.69826523092105,0.0894577138460732,0.371925959032415,"UIMC1","no","no"
"ENSG00000087245",90.6149201888286,1.88188135859449,0.218460540084441,8.61428502313091,7.03794074567635e-18,8.63116733187149e-16,"MMP2","yes","no"
"ENSG00000087253",16.2333748332572,0.274469724967875,0.401570141368462,0.683491367242952,0.494296403325756,0.843548687091367,"LPCAT2","no","no"
"ENSG00000087258",10.4576676358472,-0.400134772277221,0.509790173487063,-0.784900912350315,0.432511667095192,0.807473224333007,"GNAO1","no","no"
"ENSG00000087263",148.963537007096,-0.249838262323377,0.14790755315348,-1.68915148007435,0.0911904044673284,0.375947275769701,"OGFOD1","no","no"
"ENSG00000087266",87.2854264784047,-0.060853396776645,0.185711898754025,-0.327676348068817,0.743156388413936,0.942965613018805,"SH3BP2","no","no"
"ENSG00000087269",29.6647229664569,0.142914666693973,0.321224778577862,0.444905487449288,0.656388056860356,0.913921141448348,"NOP14","no","no"
"ENSG00000087274",405.790258489546,-0.0657026208578975,0.107613619823738,-0.610541871609864,0.54150291523735,0.866857389493645,"ADD1","no","no"
"ENSG00000087299",62.7095089794537,-0.111820102921535,0.228797263953751,-0.488730070409136,0.62503281184329,0.903379579799637,"L2HGDH","no","no"
"ENSG00000087301",45.2875387598603,0.0760032168349348,0.239889093153927,0.316826479418831,0.751375270814574,0.944000939054711,"TXNDC16","no","no"
"ENSG00000087302",686.270903149412,-0.0317947969757116,0.0974208927254852,-0.326365280446605,0.744148002831729,0.942965613018805,"RTRAF","no","no"
