"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","high_threshold"
"ENSG00000144504",15.5905259333315,0.0225992008472511,0.30506823364764,0.0740791677226991,0.940947391457008,0.977144161070431,"ANKMY1","no","no"
"ENSG00000144524",123.212709980465,-0.0175249286544487,0.150977237785914,-0.116076627917243,0.907591811804813,0.963277390001628,"COPS7B","no","no"
"ENSG00000144535",67.9571464905152,0.0373007753484697,0.176850447033686,0.210917054347986,0.832951996029505,0.930886503662442,"DIS3L2","no","no"
"ENSG00000144554",199.011507764679,0.208140950597642,0.114446905480662,1.818668226314,0.0689620620367365,0.221732097005486,"FANCD2","no","no"
"ENSG00000144559",60.2592940325392,-0.247963980429537,0.194019061919786,-1.27803927086326,0.201235579879876,0.43648732219414,"TAMM41","no","no"
"ENSG00000144560",55.8349671129543,0.146737032421538,0.166282748920643,0.882454935187339,0.377530839390087,0.627580276953026,"VGLL4","no","no"
"ENSG00000144566",128.869834862331,-0.137893744776243,0.142977093799431,-0.964446409644344,0.334822163988291,0.587849254790592,"RAB5A","no","no"
"ENSG00000144567",114.105784962988,0.18365166743645,0.137153776562036,1.33902012791739,0.180564120433792,0.410824137382734,"RETREG2","no","no"
"ENSG00000144579",80.4845899882257,0.493609251573518,0.200551765490404,2.46125607703581,0.0138451506891481,0.0702972969424182,"CTDSP1","no","no"
"ENSG00000144580",193.477749549548,-0.0186003006220138,0.095579628904711,-0.194605281848892,0.845701967799194,0.936595713278717,"CNOT9","no","no"
"ENSG00000144583",6.3786060278236,-0.472934750401633,0.710285939329233,-0.665837128703765,0.505515210104089,0.729810822758644,"MARCHF4","no","no"
"ENSG00000144589",39.4285628511057,0.35023241486963,0.218713188267889,1.60133194364416,0.109303417512097,0.299580626430365,"STK11IP","no","no"
"ENSG00000144591",23.5670032565087,0.638744307215734,0.285981572240665,2.23351561504881,0.025514961759187,0.110866685874398,"GMPPA","no","no"
"ENSG00000144596",6.79541677402653,1.63508097978226,0.557276613123439,2.93405633984515,0.00334563473399068,0.0237016543807775,"GRIP2","no","no"
"ENSG00000144597",97.8093058692073,-0.487799627647845,0.138822581321047,-3.51383487474375,0.000441687287914678,0.00474605691510248,"EAF1","no","no"
"ENSG00000144619",3.05377762960068,1.59710791164417,0.809833514533195,1.97214351219432,0.048593225960365,0.173504463610792,"CNTN4","no","no"
"ENSG00000144635",153.706612187127,0.110333565115817,0.109094615121093,1.01135665581064,0.311845758567372,0.565971240494181,"DYNC1LI1","no","no"
"ENSG00000144642",31.5941236981803,0.454784365841142,0.367024243807313,1.23911260227241,0.215303800603523,0.4551382020297,"RBMS3","no","no"
"ENSG00000144644",53.2742833408832,5.09746981553761,0.393684897797006,12.9480959113804,2.40854133942032e-38,5.98178445511747e-35,"GADL1","yes","yes"
"ENSG00000144645",129.622513520376,1.54462512520421,0.2805404342068,5.505891261527,3.67305205922143e-08,1.38216471968754e-06,"OSBPL10","yes","no"
"ENSG00000144647",87.7572102189077,0.327409955149443,0.146648988534011,2.23260970581811,0.0255746934954661,0.110987530309206,"POMGNT2","no","no"
"ENSG00000144649",7.81158783844733,-0.6220586178757,0.600521653712475,-1.0358637594999,0.300265706875845,0.554211626928185,"GASK1A","no","no"
"ENSG00000144655",14.5295844067311,0.499996370203594,0.426128413951864,1.1733467044985,0.24065680017703,0.485640563400495,"CSRNP1","no","no"
"ENSG00000144659",69.6897911188432,-0.191522911167827,0.148897408126404,-1.28627431180828,0.198347344317084,0.433253999365814,"SLC25A38","no","no"
"ENSG00000144668",26.8441351917643,3.20989767366375,0.340495453144589,9.42713814243121,4.21430305723745e-21,1.55884380106539e-18,"ITGA9","yes","yes"
"ENSG00000144674",556.252004754673,0.10426276964389,0.120694511532078,0.863856759685214,0.387666582928419,0.636289987180001,"GOLGA4","no","no"
"ENSG00000144677",177.458418587435,0.470123720449846,0.125196473808618,3.75508755277328,0.000173280894399376,0.00218930839326538,"CTDSPL","no","no"
"ENSG00000144681",18.527617276736,0.109944094351457,0.329531449009624,0.333637638173486,0.738653012929862,0.882636788080669,"STAC","no","no"
"ENSG00000144711",104.646282704656,0.648469572939193,0.149421131538033,4.3398786119762,1.42561444485736e-05,0.000256301004383094,"IQSEC1","no","no"
"ENSG00000144712",9.40835254727911,1.20026804112359,0.511433488313006,2.34687025498222,0.0189318459299089,0.0888512044641679,"CAND2","no","no"
"ENSG00000144713",4608.69602585185,-0.537623595904211,0.0788935899612397,-6.814540904633,9.4565265604298e-12,7.90392856985924e-10,"RPL32","no","no"
"ENSG00000144724",196.090354914089,-0.313880903128153,0.136081400760292,-2.30656725588133,0.0210789567216265,0.09621024065753,"PTPRG","no","no"
"ENSG00000144730",82.5772954374641,-0.388495966648682,0.509632455086525,-0.76230617334354,0.445877290284941,0.681457291569556,"IL17RD","no","no"
"ENSG00000144736",43.5948129721087,-0.220063830907915,0.196631650774776,-1.11916789611851,0.263068518655791,0.512373537623899,"SHQ1","no","no"
"ENSG00000144741",46.772896479521,-0.134885942731606,0.208481050862304,-0.646993777965433,0.517635970400969,0.739328076357283,"SLC25A26","no","no"
"ENSG00000144744",246.17671812047,-0.0906009981423213,0.0821908412121457,-1.102324745752,0.270320514960482,0.520780380384306,"UBA3","no","no"
"ENSG00000144746",255.711873011258,0.126429949442038,0.0989790856624298,1.27734004204919,0.201482222711591,0.43680863472266,"ARL6IP5","no","no"
"ENSG00000144747",139.766550045261,0.268757699363548,0.123347080405036,2.17887361809477,0.0293410581114255,0.122530457666858,"TMF1","no","no"
"ENSG00000144749",217.187883969941,-0.0302540455504801,0.183723480488916,-0.164671632988715,0.86920244572535,0.946453997177453,"LRIG1","no","no"
"ENSG00000144771",12.960506298373,4.30214410212565,1.16445230976182,3.69456444549938,0.000220264025253093,0.00267782523008742,"LRTM1","yes","yes"
"ENSG00000144791",97.0901377123206,-0.106476606516618,0.137380391438399,-0.775049520545018,0.438310398322797,0.676734127428226,"LIMD1","no","no"
"ENSG00000144792",47.6517728338625,-0.611349000764503,0.221154042982845,-2.76435823880428,0.00570348838632044,0.0358090088826944,"ZNF660","no","no"
