,gene,day_04_02,day_06_04,day_08_06,day_10_08,day_12_10,day_12_06,day_06_02
347,DYRK3,UP,no,no,no,no,no,UP
348,VASH2,DOWN,no,no,no,no,no,DOWN
349,FBLN7,UP,no,no,no,no,no,UP
350,ZNF385B,UP,UP,no,no,no,no,UP
351,OSBPL10,DOWN,no,no,no,no,no,DOWN
352,IL17RD,UP,no,no,no,no,UP,UP
353,COL8A1,DOWN,no,no,no,no,no,DOWN
354,PHLDB2,UP,no,no,no,no,no,UP
355,TAGLN3,UP,no,no,no,no,no,UP
356,BOC,UP,no,no,no,no,no,UP
357,SCD5,UP,UP,no,no,no,no,UP
358,DDIT4L,UP,UP,no,no,no,no,UP
359,LIX1,UP,no,no,no,no,no,UP
360,MEGF10,DOWN,no,no,no,no,no,DOWN
361,PLA2G7,DOWN,no,no,no,no,no,DOWN
362,TPBG,UP,no,no,no,no,no,UP
363,VWDE,DOWN,no,no,no,no,DOWN,DOWN
364,SSC4D,DOWN,no,no,no,no,no,DOWN
365,EPHA1,DOWN,DOWN,no,no,no,no,DOWN
366,ADHFE1,DOWN,no,no,no,no,no,no
367,PRDM14,DOWN,no,no,no,no,no,DOWN
368,TERF1,DOWN,no,no,no,no,no,DOWN
369,LRP12,UP,no,no,no,no,no,UP
370,MAL2,DOWN,DOWN,no,no,no,no,DOWN
371,NFIB,DOWN,no,no,no,no,no,DOWN
372,HMCN2,DOWN,no,no,no,no,no,DOWN
373,CACNA1B,DOWN,no,no,no,no,no,DOWN
374,NACC2,DOWN,no,no,no,no,UP,DOWN
375,ZEB1,UP,no,no,no,no,no,UP
376,MTG1,DOWN,no,no,no,no,no,DOWN
377,IMMP1L,UP,no,no,no,no,no,UP
378,SLC43A1,DOWN,no,no,no,no,no,DOWN
379,ZC3H12C,UP,no,no,no,no,no,UP
380,ST14,DOWN,no,no,no,no,no,DOWN
381,PRSS23,UP,no,no,no,no,no,UP
382,FOXO1,DOWN,no,no,no,no,UP,DOWN
383,THRB,DOWN,no,no,no,no,no,DOWN
384,ABTB3,DOWN,no,UP,no,no,UP,DOWN
385,MAT1A,DOWN,no,no,no,no,no,DOWN
386,ME3,UP,no,no,no,no,no,UP
387,BEND6,DOWN,no,no,no,no,no,DOWN
388,RABGAP1L,DOWN,no,no,no,no,no,DOWN
389,HSPB8,DOWN,no,no,no,no,UP,DOWN
390,POU4F1,UP,no,no,no,no,no,UP
391,GRID2,DOWN,no,no,no,no,no,DOWN
392,HHEX,DOWN,no,no,no,no,no,DOWN
393,ACOXL,DOWN,no,no,no,no,DOWN,DOWN
394,CLGN,UP,no,no,no,no,no,UP
395,FEZF2,UP,UP,no,no,no,no,UP
396,LGI4,DOWN,no,no,no,no,UP,DOWN
397,CACNA2D1,DOWN,no,no,no,no,UP,DOWN
398,SEMA3D,DOWN,no,no,no,no,no,DOWN
399,CHST9,DOWN,no,no,no,no,no,DOWN
400,C16orf74,DOWN,no,no,no,no,no,DOWN
401,ABCA5,UP,no,no,no,no,no,UP
402,FAM167A,UP,no,no,no,no,no,UP
403,PDLIM3,DOWN,no,UP,no,no,UP,no
404,SORBS2,DOWN,no,UP,no,no,UP,no
405,CHODL,DOWN,no,no,no,no,no,DOWN
406,SLFN13,DOWN,no,no,UP,no,UP,DOWN
407,PLCL2,DOWN,no,no,no,no,no,DOWN
408,USP43,DOWN,no,no,no,no,no,DOWN
409,PPM1J,DOWN,no,no,no,no,UP,DOWN
410,SLC16A1,DOWN,no,no,no,no,no,DOWN
411,PPARGC1B,DOWN,no,no,no,no,no,DOWN
412,SLC24A2,DOWN,no,no,no,no,no,no
413,PCDH1,DOWN,no,no,no,no,no,DOWN
414,CD109,DOWN,no,no,no,no,no,DOWN
415,MAPK13,DOWN,no,no,no,no,UP,DOWN
416,ZIC3,DOWN,no,no,no,no,DOWN,DOWN
417,B3GNT7,DOWN,no,no,no,no,no,DOWN
418,NMNAT2,DOWN,no,UP,no,no,UP,DOWN
419,NRG1,UP,no,no,no,no,no,UP
420,STEAP2,DOWN,DOWN,no,no,no,no,DOWN
421,FZD1,UP,no,no,no,no,no,no
422,KCNJ15,DOWN,no,no,no,no,no,DOWN
423,TSPAN18,UP,no,no,no,no,no,UP
424,MX1,DOWN,no,no,no,no,no,DOWN
425,CREB3L1,DOWN,no,no,no,no,UP,DOWN
426,DPYSL5,UP,no,no,no,no,no,UP
427,GRHL3,UP,no,no,no,no,DOWN,UP
428,TMSB15A,UP,no,no,no,no,no,UP
429,TENT5B,DOWN,no,no,no,no,UP,DOWN
430,SLC13A3,DOWN,no,no,no,no,no,DOWN
431,TAGLN2,DOWN,no,no,no,no,UP,DOWN
432,NBL1,UP,no,no,no,no,no,UP
433,CFAP298,DOWN,no,no,no,no,no,DOWN
434,LAD1,DOWN,no,no,no,no,no,DOWN
435,SCUBE1,UP,no,no,no,no,no,UP
436,BTG2,UP,no,no,no,no,no,UP
437,ALDH4A1,DOWN,no,no,no,no,no,DOWN
438,ABCG1,DOWN,no,no,no,no,no,DOWN
439,TFF3,DOWN,no,no,no,no,no,DOWN
440,GPSM1,UP,no,no,no,no,no,UP
441,SHANK1,UP,no,no,no,no,no,no
442,CCDC78,DOWN,no,no,no,no,no,no
443,ELAVL4,UP,UP,UP,no,no,UP,UP
444,PDPN,DOWN,no,no,no,no,UP,DOWN
445,DHRS3,DOWN,no,no,no,no,no,DOWN
446,MATN1,DOWN,no,no,no,no,no,DOWN
447,IGSF8,DOWN,no,no,no,no,no,DOWN
448,OLFML2B,DOWN,no,no,no,no,UP,DOWN
449,ATF3,DOWN,UP,UP,no,no,UP,no
450,KLHDC8A,UP,UP,no,no,no,no,UP
451,LRRTM1,DOWN,no,no,no,no,no,DOWN
452,ACTG2,DOWN,no,no,no,no,no,no
453,SLC16A14,UP,no,no,no,no,no,UP
454,BBS5,UP,no,no,no,no,no,UP
455,MSX1,UP,UP,no,no,no,no,UP
456,BNIPL,DOWN,no,no,no,no,no,DOWN
457,ANTXR2,UP,no,no,no,no,no,UP
458,ELF3,DOWN,no,no,no,no,no,no
459,NUAK2,UP,no,no,no,no,no,UP
460,ADAMTS9,UP,no,no,no,no,UP,UP
461,PPM1K,DOWN,no,no,no,no,UP,DOWN
462,RBM47,DOWN,no,no,no,no,UP,no
463,PCOLCE2,DOWN,no,no,no,no,no,DOWN
464,CDCP1,DOWN,no,no,no,no,no,DOWN
465,LRRC2,DOWN,no,no,no,no,no,DOWN
466,GRIK3,DOWN,no,no,no,no,no,no
467,KLF15,DOWN,no,no,no,no,UP,DOWN
468,ARHGEF3,DOWN,no,no,no,no,UP,DOWN
469,CLDN19,DOWN,no,no,no,no,no,DOWN
470,CAMKV,DOWN,no,UP,no,no,no,DOWN
471,EDIL3,DOWN,no,no,no,no,UP,DOWN
472,SCGB3A2,DOWN,DOWN,no,no,no,no,DOWN
473,SPINK1,DOWN,no,no,no,no,no,DOWN
474,RHOBTB3,DOWN,no,no,no,no,no,no
475,KLKB1,DOWN,no,no,no,no,no,DOWN
476,ACSL6,DOWN,no,no,no,no,no,DOWN
477,FABP7,UP,no,no,no,no,UP,UP
478,GALNT10,UP,no,no,no,no,no,no
479,MYOZ3,DOWN,no,no,no,no,no,DOWN
480,SP8,UP,no,no,no,no,no,UP
481,TMEM74,UP,no,DOWN,DOWN,no,DOWN,UP
482,FOXK1,UP,no,no,no,no,no,UP
483,SYK,DOWN,no,no,no,no,no,DOWN
484,MID1IP1,DOWN,no,no,no,no,no,DOWN
485,PCDH19,UP,UP,no,no,no,no,UP
486,DEPP1,DOWN,DOWN,no,no,no,no,DOWN
487,COMTD1,DOWN,no,no,no,no,no,DOWN
488,ZNF503,UP,no,no,no,no,no,UP
489,STOX1,UP,UP,no,no,no,no,UP
490,RET,DOWN,no,no,no,no,no,DOWN
491,NDRG2,DOWN,no,no,no,no,UP,DOWN
492,SALL2,UP,no,no,no,no,DOWN,UP
493,ARHGAP42,DOWN,no,no,no,no,no,no
494,LARGE2,DOWN,no,no,no,no,DOWN,DOWN
495,PACSIN3,DOWN,no,no,no,no,no,DOWN
496,IFI27,UP,no,no,no,no,no,UP
497,GLB1L3,DOWN,no,no,no,no,no,DOWN
498,SPINT1,DOWN,DOWN,no,no,no,no,DOWN
499,FBN1,UP,no,no,no,no,no,UP
500,CKB,DOWN,no,UP,no,no,UP,DOWN
501,GABRB3,DOWN,DOWN,no,no,no,no,DOWN
502,PPFIBP2,DOWN,no,no,no,no,UP,DOWN
503,WDR72,DOWN,no,no,no,no,no,DOWN
504,PRTG,UP,no,no,no,no,no,UP
505,CENPV,UP,no,no,no,no,no,UP
506,NNMT,UP,no,no,no,no,no,UP
507,ELFN2,DOWN,no,no,no,no,no,DOWN
508,MAP1A,UP,no,no,no,no,no,UP
509,TMEM92,DOWN,no,no,no,no,no,DOWN
510,RBFOX3,DOWN,no,no,no,no,no,DOWN
511,MYO5B,DOWN,no,no,no,no,no,DOWN
