,gene1,gene2,combined_score,type,known,degree,betweenness,isSHH
224,FGF2,SHH,0.749,negative,unknown,17,3172.75891395434,no
225,FGF2,SOX2,0.933,negative,unknown,17,3172.75891395434,no
226,FGF2,EGF,0.969,negative,unknown,17,3172.75891395434,no
227,FJX1,PRICKLE1,0.406,negative,unknown,1,0,no
228,FOXG1,FGF2,0.477,negative,unknown,13,1509.4952896898,no
229,FOXG1,DBF4,0.717,negative,unknown,13,1509.4952896898,no
230,FOXG1,PRDM16,0.715,negative,unknown,13,1509.4952896898,no
231,FOXG1,SHH,0.757,negative,unknown,13,1509.4952896898,no
232,FOXG1,SOX2,0.749,negative,unknown,13,1509.4952896898,no
233,FOXG1,SOX1,0.681,negative,unknown,13,1509.4952896898,no
234,FOXG1,VAX1,0.402,negative,unknown,13,1509.4952896898,no
235,FOXG1,GLI3,0.423,negative,unknown,13,1509.4952896898,no
236,FOXG1,RRBP1,0.485,negative,unknown,13,1509.4952896898,no
237,FOXG1,LHX2,0.731,negative,unknown,13,1509.4952896898,no
238,FOXG1,FOXO3,0.748,negative,unknown,13,1509.4952896898,no
239,FOXG1,OTX2,0.781,negative,unknown,13,1509.4952896898,no
240,FOXG1,PAX6,0.865,negative,unknown,13,1509.4952896898,no
241,FOXO3,XBP1,0.423,negative,unknown,15,2503.49089159459,no
242,FOXO3,BHLHE41,0.407,negative,unknown,15,2503.49089159459,no
243,FOXO3,EGF,0.451,negative,unknown,15,2503.49089159459,no
244,FOXO3,ANXA5,0.523,negative,unknown,15,2503.49089159459,no
245,FOXO3,DDIT4,0.416,negative,unknown,15,2503.49089159459,no
246,FOXO3,SOX2,0.64,negative,unknown,15,2503.49089159459,no
247,FOXO3,TNRC6C,0.433,negative,unknown,15,2503.49089159459,no
248,FOXO3,FOXG1,0.748,negative,unknown,15,2503.49089159459,no
249,FOXO3,CTNNBIP1,0.435,negative,unknown,15,2503.49089159459,no
250,FOXO3,PAX6,0.502,negative,unknown,15,2503.49089159459,no
251,FOXO3,MAX,0.627,negative,unknown,15,2503.49089159459,no
252,FOXO3,IRS2,0.681,negative,unknown,15,2503.49089159459,no
253,FOXO3,GADD45A,0.752,negative,unknown,15,2503.49089159459,no
254,FOXO3,BCL2L11,0.984,negative,unknown,15,2503.49089159459,no
255,FOXO3,ID1,0.989,negative,unknown,15,2503.49089159459,no
256,FRMD4A,ARL4C,0.437,negative,unknown,1,0,no
257,GABRA5,UNC5D,0.403,negative,unknown,3,332.925128686014,no
258,GABRA5,GLI2,0.416,negative,unknown,3,332.925128686014,no
259,GABRA5,GRIA1,0.552,negative,unknown,3,332.925128686014,no
260,GADD45A,GDF15,0.531,negative,unknown,8,731.202900293796,no
261,GADD45A,PLK2,0.42,negative,unknown,8,731.202900293796,no
262,GADD45A,BTG2,0.714,negative,unknown,8,731.202900293796,no
263,GADD45A,ANXA5,0.439,negative,unknown,8,731.202900293796,no
264,GADD45A,DDIT4,0.428,negative,unknown,8,731.202900293796,no
265,GADD45A,FOXO3,0.752,negative,unknown,8,731.202900293796,no
266,GADD45A,PERP,0.418,negative,unknown,8,731.202900293796,no
267,GADD45A,BCL2L11,0.58,negative,unknown,8,731.202900293796,no
268,GAS1,BOC,0.982,negative,known,6,1.02881192881193,no
269,GAS1,SHH,0.999,negative,known,6,1.02881192881193,no
270,GAS1,GLI2,0.607,negative,known,6,1.02881192881193,no
271,GAS1,GLI3,0.633,negative,known,6,1.02881192881193,no
272,GAS1,ZIC2,0.727,negative,known,6,1.02881192881193,no
273,GAS1,CDON,0.995,negative,known,6,1.02881192881193,no
274,GAS2L3,ECT2,0.451,negative,unknown,1,0,no
275,GCNT2,B3GALT1,0.417,negative,unknown,1,0,no
276,GDF15,HSPB1,0.507,negative,unknown,4,349.62810895413,no
277,GDF15,BTG2,0.442,negative,unknown,4,349.62810895413,no
278,GDF15,GADD45A,0.531,negative,unknown,4,349.62810895413,no
279,GDF15,LGALS3,0.667,negative,unknown,4,349.62810895413,no
280,GJA1,VCL,0.795,negative,unknown,11,1613.17247820515,no
281,GJA1,FGF2,0.601,negative,unknown,11,1613.17247820515,no
282,GJA1,EGF,0.644,negative,unknown,11,1613.17247820515,no
283,GJA1,CDH11,0.507,negative,unknown,11,1613.17247820515,no
284,GJA1,PERP,0.457,negative,unknown,11,1613.17247820515,no
285,GJA1,SLC1A5,0.485,negative,unknown,11,1613.17247820515,no
286,GJA1,ATP1A2,0.541,negative,unknown,11,1613.17247820515,no
287,GJA1,RRBP1,0.587,negative,unknown,11,1613.17247820515,no
288,GJA1,SOX2,0.612,negative,unknown,11,1613.17247820515,no
289,GJA1,ZIC3,0.765,negative,unknown,11,1613.17247820515,no
290,GJA1,DSP,0.84,negative,unknown,11,1613.17247820515,no
291,GLI2,JAG1,0.48,negative,known,17,1851.6150178221,no
292,GLI2,NOTCH2,0.431,negative,known,17,1851.6150178221,no
293,GLI2,BOC,0.495,negative,known,17,1851.6150178221,no
294,GLI2,ZIC3,0.49,negative,known,17,1851.6150178221,no
295,GLI2,SHH,0.975,negative,known,17,1851.6150178221,no
296,GLI2,GAS1,0.607,negative,known,17,1851.6150178221,no
297,GLI2,SOX2,0.694,negative,known,17,1851.6150178221,no
298,GLI2,DHCR7,0.474,negative,known,17,1851.6150178221,no
299,GLI2,ZNF521,0.603,negative,known,17,1851.6150178221,no
300,GLI2,ZIC2,0.495,negative,known,17,1851.6150178221,no
301,GLI2,CDON,0.623,negative,known,17,1851.6150178221,no
302,GLI2,GLI3,0.941,negative,known,17,1851.6150178221,no
303,GLI2,GABRA5,0.416,negative,known,17,1851.6150178221,no
304,GLI2,SEM1,0.46,negative,known,17,1851.6150178221,no
305,GLI2,UBC,0.529,negative,known,17,1851.6150178221,no
306,GLI2,PAX6,0.535,negative,known,17,1851.6150178221,no
307,GLI2,OTX2,0.555,negative,known,17,1851.6150178221,no
308,GLI3,TOX3,0.429,negative,known,16,986.171599032479,no
309,GLI3,JAG1,0.423,negative,known,16,986.171599032479,no
310,GLI3,BOC,0.544,negative,known,16,986.171599032479,no
311,GLI3,ZIC3,0.819,negative,known,16,986.171599032479,no
312,GLI3,SHH,0.966,negative,known,16,986.171599032479,no
313,GLI3,GAS1,0.633,negative,known,16,986.171599032479,no
314,GLI3,SOX2,0.747,negative,known,16,986.171599032479,no
315,GLI3,FOXG1,0.423,negative,known,16,986.171599032479,no
316,GLI3,SMOC1,0.415,negative,known,16,986.171599032479,no
317,GLI3,ZIC2,0.625,negative,known,16,986.171599032479,no
318,GLI3,CDON,0.526,negative,known,16,986.171599032479,no
319,GLI3,SEM1,0.4,negative,known,16,986.171599032479,no
320,GLI3,OTX2,0.444,negative,known,16,986.171599032479,no
321,GLI3,UBC,0.529,negative,known,16,986.171599032479,no
322,GLI3,PAX6,0.6,negative,known,16,986.171599032479,no
323,GLI3,GLI2,0.941,negative,known,16,986.171599032479,no
324,GNG11,RGS16,0.518,negative,unknown,3,1220.96310530535,no
325,GNG11,ADRA2B,0.541,negative,unknown,3,1220.96310530535,no
326,GNG11,LPAR1,0.611,negative,unknown,3,1220.96310530535,no
327,GOLGA2,BET1,0.753,negative,unknown,12,1374.95350473899,no
328,GOLGA2,GORASP2,0.994,negative,unknown,12,1374.95350473899,no
329,GOLGA2,MAN2A1,0.555,negative,unknown,12,1374.95350473899,no
330,GOLGA2,USO1,0.997,negative,unknown,12,1374.95350473899,no
331,GOLGA2,RAB5A,0.62,negative,unknown,12,1374.95350473899,no
332,GOLGA2,WHAMM,0.764,negative,unknown,12,1374.95350473899,no
333,GOLGA2,ZFPL1,0.608,negative,unknown,12,1374.95350473899,no
334,GOLGA2,SEC23A,0.612,negative,unknown,12,1374.95350473899,no
335,GOLGA2,PTTG1,0.445,negative,unknown,12,1374.95350473899,no
336,GOLGA2,RAB1A,0.947,negative,unknown,12,1374.95350473899,no
337,GOLGA2,SCFD1,0.771,negative,unknown,12,1374.95350473899,no
338,GOLGA2,GRIA1,0.534,negative,unknown,12,1374.95350473899,no
339,GORASP2,BET1,0.67,negative,unknown,8,77.4388845900611,no
340,GORASP2,MAN2A1,0.465,negative,unknown,8,77.4388845900611,no
341,GORASP2,SEC23A,0.5,negative,unknown,8,77.4388845900611,no
342,GORASP2,SCFD1,0.531,negative,unknown,8,77.4388845900611,no
343,GORASP2,SURF4,0.65,negative,unknown,8,77.4388845900611,no
