"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"470","ENSG00000130340","SNX9","blue","blue",0.00158480146383017,-0.00158480146383017
"1007","ENSG00000176208","ATAD5","blue","blue",0.00158355787561988,-0.00158355787561988
"277","ENSG00000110799","VWF","blue","blue",0.00157783368216556,-0.00157783368216556
"614","ENSG00000141012","GALNS","blue","blue",0.00154854465539406,0.00154854465539406
"412","ENSG00000124243","BCAS4","blue","blue",0.00154025195971911,-0.00154025195971911
"423","ENSG00000125804","FAM182A","blue","blue",0.00153587835995024,0.00153587835995024
"463","ENSG00000129675","ARHGEF6","blue","blue",0.00153385851767562,0.00153385851767562
"273","ENSG00000110318","CEP126","blue","blue",0.00151398161438285,0.00151398161438285
"919","ENSG00000168811","IL12A","blue","blue",0.00151171565349149,-0.00151171565349149
"436","ENSG00000126878","AIF1L","blue","blue",0.00148542509665814,0.00148542509665814
"664","ENSG00000145391","SETD7","blue","blue",0.00145567920928567,-0.00145567920928567
"860","ENSG00000164659","ELAPOR2","blue","blue",0.00144987382525158,-0.00144987382525158
"858","ENSG00000164649","CDCA7L","blue","blue",0.00144745678336834,-0.00144745678336834
"98","ENSG00000075426","FOSL2","blue","blue",0.00140607739192464,-0.00140607739192464
"202","ENSG00000103145","HCFC1R1","blue","blue",0.00138433434430213,-0.00138433434430213
"730","ENSG00000153093","ACOXL","blue","blue",0.00137469013609055,-0.00137469013609055
"707","ENSG00000150995","ITPR1","blue","blue",0.00135768713405362,0.00135768713405362
"1206","ENSG00000204070","SYS1","blue","blue",0.00134090941047091,0.00134090941047091
"45","ENSG00000038002","AGA","blue","blue",0.0013397311711661,0.0013397311711661
"241","ENSG00000106772","PRUNE2","blue","blue",0.00133955518264833,-0.00133955518264833
"857","ENSG00000164619","BMPER","blue","blue",0.00133356827784874,0.00133356827784874
"626","ENSG00000142186","SCYL1","blue","blue",0.0012783893652546,-0.0012783893652546
"1379","ENSG00000266524","GDF10","blue","blue",0.00127386135562202,-0.00127386135562202
"1291","ENSG00000233621","ZC3H12A-DT","blue","blue",0.00127164029082739,0.00127164029082739
"958","ENSG00000171817","ZNF540","blue","blue",0.00126657173053867,0.00126657173053867
"297","ENSG00000112406","HECA","blue","blue",0.00125903202066245,-0.00125903202066245
"622","ENSG00000141622","ARK2C","blue","blue",0.00124606360817261,0.00124606360817261
"1100","ENSG00000185608","MRPL40","blue","blue",0.00123940952892026,0.00123940952892026
"1201","ENSG00000203685","STUM","blue","blue",0.00123842640279318,0.00123842640279318
"172","ENSG00000100599","RIN3","blue","blue",0.00123469978109822,0.00123469978109822
"485","ENSG00000131477","RAMP2","blue","blue",0.00123212236181029,0.00123212236181029
"680","ENSG00000147642","SYBU","blue","blue",0.00122315727641227,0.00122315727641227
"217","ENSG00000105251","SHD","blue","blue",0.00121403619790958,0.00121403619790958
"256","ENSG00000108950","FAM20A","blue","blue",0.00119541912533394,0.00119541912533394
