"","HvsN_padj","HvsN_log2FoldChange","HvsL_padj","HvsL_log2FoldChange","LvsN_padj","LvsN_log2FoldChange","cyclo_padj","cyclo_log2FoldChange","HvsN_thr","HvsL_thr","LvsN_thr","cyclo_thr","WGCNA","cluster","sub_cluster","genes"
"ENSG00000198795",1.10653829368644e-25,0.93994010000596,0.0330392410969524,0.218925497771049,1.3597628227253e-14,0.721014602234911,1.68864532653298e-05,0.753207080807161,FALSE,FALSE,FALSE,FALSE,"yes","2","2","ZNF521"
"ENSG00000198796",NA,0.390325256608638,NA,-0.0505788808695079,NA,0.440904137478146,0.777180975734454,0.389688589983584,FALSE,FALSE,FALSE,FALSE,"no","no","no","ALPK2"
"ENSG00000198799",0.96500377610565,-0.0109496900752158,0.503211557651476,-0.127407423918355,0.446170712413578,0.116457733843139,0.936026844685002,-0.0228904645024446,FALSE,FALSE,FALSE,FALSE,"no","no","no","LRIG2"
"ENSG00000198804",0.193363144903385,0.175112271241858,0.93687080493037,-0.0262411142291393,0.121751080804567,0.201353385470997,0.13669099224451,0.232105342896289,FALSE,FALSE,FALSE,FALSE,"no","no","no","COX1"
"ENSG00000198805",0.834725555050659,0.0753552703123932,0.840704319051497,-0.102707295176365,0.533494199062927,0.178062565488758,0.965476670659288,0.0217255576082783,FALSE,FALSE,FALSE,FALSE,"no","no","no","PNP"
"ENSG00000198807",0.310913993928841,-0.6965858647306,NA,-0.0198331299611884,NA,-0.676752734769411,0.530902126507753,-0.658001355665812,FALSE,FALSE,FALSE,FALSE,"no","no","no","PAX9"
"ENSG00000198814",0.961888306061222,0.0341841360623261,0.731791655325883,0.254414802740302,0.666918976549626,-0.220230666677975,0.658926239645411,0.272864424883651,FALSE,FALSE,FALSE,FALSE,"no","no","no","GK"
"ENSG00000198815",0.0534175384670569,0.189779322387689,0.937922122118573,0.0205154981764533,0.0955901594694653,0.169263824211236,0.220277804471847,0.161614223962258,FALSE,FALSE,FALSE,FALSE,"no","no","no","FOXJ3"
"ENSG00000198816",0.00681626730876661,-0.387716575156929,0.91162233263543,0.0471973250079096,0.00170413546073019,-0.434913900164839,0.12660599502859,-0.333533126835997,FALSE,FALSE,FALSE,FALSE,"yes","1","2","ZNF358"
"ENSG00000198818",0.000692814730676449,0.361156259895087,0.512431441026807,0.119056101200672,0.0420990607312709,0.242100158694415,0.00526723837475213,0.351279788330873,FALSE,FALSE,FALSE,FALSE,"no","no","no","SFT2D1"
"ENSG00000198821",0.0255353629470471,0.897334838480761,0.554586920960162,0.355467809417651,0.264147193446626,0.54186702906311,0.0643271048163365,0.776442290637085,FALSE,FALSE,FALSE,FALSE,"no","no","no","CD247"
"ENSG00000198822",0.833191569045788,-0.0809311854408881,0.780512010877046,0.147858759869106,0.439533793798587,-0.228789945309994,0.898194253069277,-0.0686799088587074,FALSE,FALSE,FALSE,FALSE,"no","no","no","GRM3"
"ENSG00000198824",0.0829808252440504,-0.191038322153756,0.99267374699336,-0.00322709426088125,0.0872350359108549,-0.187811227892875,0.594561105789024,-0.104451050457416,FALSE,FALSE,FALSE,FALSE,"no","no","no","CHAMP1"
"ENSG00000198825",1.48915525887282e-07,0.303543644366729,0.829105570968979,0.0336487338469448,5.21836813625037e-06,0.269894910519784,0.0291337471467703,0.216904366399688,FALSE,FALSE,FALSE,FALSE,"no","no","no","INPP5F"
"ENSG00000198826",0.860595774912131,0.199143662067672,NA,0.267170924493951,NA,-0.0680272624262787,0.900985687244189,0.180552405832604,FALSE,FALSE,FALSE,FALSE,"no","no","no","ARHGAP11A"
"ENSG00000198830",0.964559254021657,0.010300471175748,0.39442153111873,0.139581193291003,0.347636542151953,-0.129280722115255,0.738905665263712,0.076428447247798,FALSE,FALSE,FALSE,FALSE,"no","no","no","HMGN2"
"ENSG00000198832",0.0693090653628234,0.261022103176077,0.596781349509005,-0.121096091779456,0.00272871796747009,0.382118194955534,0.940292684672325,0.0264220727973521,FALSE,FALSE,FALSE,FALSE,"no","no","no","SELENOM"
"ENSG00000198833",0.601071506958353,0.0884816489404043,0.17481353147751,0.195596595347563,0.512249456130692,-0.107114946407159,0.491843291195544,0.143256538512968,FALSE,FALSE,FALSE,FALSE,"no","no","no","UBE2J1"
"ENSG00000198836",0.108916304805303,0.174194934246427,0.78383486389519,-0.0615467648139161,0.0172010336017633,0.235741699060343,0.729567159129618,0.0745241806528703,FALSE,FALSE,FALSE,FALSE,"no","no","no","OPA1"
"ENSG00000198837",0.739274351155701,-0.0728567295962336,0.663766447770967,-0.116099515111531,0.851419086724346,0.043242785515297,0.89060170718068,-0.042955897501868,FALSE,FALSE,FALSE,FALSE,"no","no","no","DENND4B"
"ENSG00000198838",0.948385857674965,0.0283351987669896,0.647477951681815,-0.183299571697173,0.452147686877479,0.211634770464162,0.786927103885208,-0.122837151805766,FALSE,FALSE,FALSE,FALSE,"no","no","no","RYR3"
"ENSG00000198839",0.929913819522142,-0.0200710645688969,0.893629559989992,0.0420732133490092,0.72610549852143,-0.0621442779179061,0.942679390615808,-0.01935116462228,FALSE,FALSE,FALSE,FALSE,"no","no","no","ZNF277"
"ENSG00000198840",0.113931908532464,0.178167705789316,0.164040086307927,0.169540566815263,0.963345953208797,0.00862713897405309,0.286185269460186,0.17260762268145,FALSE,FALSE,FALSE,FALSE,"no","no","no","ND3"
"ENSG00000198841",0.614021145030155,-0.150851810937052,0.728875051037179,-0.153903215003844,0.992832638978919,0.00305140406679161,0.686610533095658,-0.160639564669356,FALSE,FALSE,FALSE,FALSE,"no","no","no","KTI12"
"ENSG00000198843",0.964111743794384,0.0119584313916777,0.968808348255409,-0.0157269706533498,0.898618303185447,0.0276854020450275,0.841149796255608,-0.0534715464584842,FALSE,FALSE,FALSE,FALSE,"no","no","no","SELENOT"
"ENSG00000198844",0.703569844430672,-0.272446449702303,0.679370345299792,-0.377878140114858,0.891625373547147,0.105431690412556,0.6451631005653,-0.393240039991143,FALSE,FALSE,FALSE,FALSE,"no","no","no","ARHGEF15"
"ENSG00000198846",1.10208885041432e-06,-0.916015712191298,0.164161332908885,-0.383146885152023,0.00741886111911792,-0.532868827039275,0.00256334469460428,-0.838093700836441,FALSE,FALSE,FALSE,FALSE,"yes","1","1","TOX"
"ENSG00000198853",0.479636436781487,0.152538504259432,0.510235092706506,0.17626795117015,0.936302762599094,-0.0237294469107181,0.438908756687502,0.195442519366991,FALSE,FALSE,FALSE,FALSE,"no","no","no","RUSC2"
"ENSG00000198855",0.59960889425319,0.147650962360276,0.814217687195263,-0.108089943872662,0.275377160433709,0.255740906232938,0.981508572044332,-0.0112188915796837,FALSE,FALSE,FALSE,FALSE,"no","no","no","FICD"
"ENSG00000198856",2.77176478150042e-05,0.272660785551925,0.404460671342549,0.0885309247495245,0.0100853098373076,0.184129860802401,0.00756094262242734,0.236697590258428,FALSE,FALSE,FALSE,FALSE,"no","no","no","OSTC"
"ENSG00000198858",0.812228965326387,-0.160535882415669,0.907300335556359,0.130905155598766,0.613714128801242,-0.291441038014436,0.997023035805072,-0.00345916360690382,FALSE,FALSE,FALSE,FALSE,"no","no","no","R3HDM4"
"ENSG00000198860",0.023511251180492,0.216843334227714,0.00105485780157973,0.27059127922615,0.716195389825233,-0.0537479449984364,0.0131758907167195,0.289124726710289,FALSE,FALSE,FALSE,FALSE,"no","no","no","TSEN15"
"ENSG00000198862",0.252823617921149,0.153740084137207,0.79493873047402,0.0684105951597806,0.600869725436153,0.0853294889774264,0.534564823783394,0.119050870689758,FALSE,FALSE,FALSE,FALSE,"no","no","no","LTN1"
"ENSG00000198863",0.582457201891275,-0.100271159249851,0.979198405444113,0.010417045029156,0.532859669803432,-0.110688204279007,0.512104900632718,-0.141933706943536,FALSE,FALSE,FALSE,FALSE,"no","no","no","RUNDC1"
"ENSG00000198865",0.894834873822188,0.0347353217905538,0.949077287887377,0.0274999450435365,0.976279624184949,0.00723537674701731,0.934134193616318,0.0275790711618568,FALSE,FALSE,FALSE,FALSE,"no","no","no","CCDC152"
"ENSG00000198870",0.532209656757048,-0.527416988327809,NA,-0.551630103165351,NA,0.024213114837542,0.353385927146302,-0.904702973767285,FALSE,FALSE,FALSE,FALSE,"no","no","no","STKLD1"
"ENSG00000198873",0.218253767864161,-0.215304351869671,0.830085303745688,0.0816254899761221,0.0619007787072499,-0.296929841845794,0.975007675015543,0.0126226112089355,FALSE,FALSE,FALSE,FALSE,"no","no","no","GRK5"
"ENSG00000198874",0.400893023680382,-0.153088502373677,0.611682166447428,-0.132777066536767,0.936056226133309,-0.0203114358369102,0.298773286820187,-0.215913818850997,FALSE,FALSE,FALSE,FALSE,"no","no","no","TYW1"
"ENSG00000198876",0.699639898806858,0.0598094176466733,0.979312122944614,-0.00791457793335228,0.647134819986277,0.0677239955800256,0.823799316093126,0.0478725806890079,FALSE,FALSE,FALSE,FALSE,"no","no","no","DCAF12"
"ENSG00000198879",0.783574543987681,0.0960611229765594,0.580008976032654,-0.197964917467749,0.227879539232143,0.294026040444309,0.94528238613199,-0.0345522965250833,FALSE,FALSE,FALSE,FALSE,"no","no","no","SFMBT2"
"ENSG00000198885",0.587658079841331,-0.189751927360644,0.996718618336735,0.0024130250556173,0.579655336520735,-0.192164952416262,0.359097866881337,-0.348376857177428,FALSE,FALSE,FALSE,FALSE,"no","no","no","ITPRIPL1"
"ENSG00000198886",0.586330686475742,0.0462919469970245,0.615621369032727,0.0540681919359453,0.942966142482487,-0.00777624493892077,0.276707050329483,0.0920669736422916,FALSE,FALSE,FALSE,FALSE,"no","no","no","ND4"
"ENSG00000198887",2.03284944900181e-10,0.568970347085038,0.38367775780365,0.128624935715333,2.87786918395067e-06,0.440345411369705,3.81174659923847e-06,0.533375699267784,FALSE,FALSE,FALSE,FALSE,"yes","2","2","SMC5"
