"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021953","GO:0021953","central nervous system neuron differentiation","15/625","186/20772",0.000525197880246102,0.0357439021106623,0.0327777960043754,"ENSG00000007372/ENSG00000074047/ENSG00000106571/ENSG00000111678/ENSG00000114315/ENSG00000116106/ENSG00000140937/ENSG00000142186/ENSG00000143013/ENSG00000159388/ENSG00000166579/ENSG00000173376/ENSG00000176165/ENSG00000182968/ENSG00000184524",15
"GO:0021761","GO:0021761","limbic system development","12/625","130/20772",0.000565020095576308,0.0379047766975192,0.0347593565564312,"ENSG00000018625/ENSG00000106571/ENSG00000112658/ENSG00000138772/ENSG00000149571/ENSG00000152977/ENSG00000156925/ENSG00000159388/ENSG00000167680/ENSG00000173376/ENSG00000174469/ENSG00000277586",12
"GO:0140014","GO:0140014","mitotic nuclear division","21/625","315/20772",0.000606236282156131,0.0400969800141576,0.0367696461126869,"ENSG00000010292/ENSG00000099812/ENSG00000108106/ENSG00000112941/ENSG00000117650/ENSG00000120129/ENSG00000130695/ENSG00000134222/ENSG00000138798/ENSG00000139174/ENSG00000141198/ENSG00000146247/ENSG00000158402/ENSG00000164109/ENSG00000166579/ENSG00000167110/ENSG00000167657/ENSG00000183765/ENSG00000183955/ENSG00000198887/ENSG00000204899",21
"GO:0042471","GO:0042471","ear morphogenesis","12/625","132/20772",0.000648116733043044,0.0422716135884741,0.0387638239017411,"ENSG00000060718/ENSG00000100625/ENSG00000104290/ENSG00000112320/ENSG00000116039/ENSG00000120756/ENSG00000144749/ENSG00000152977/ENSG00000156925/ENSG00000176165/ENSG00000186480/ENSG00000198707",12
"GO:0010975","GO:0010975","regulation of neuron projection development","28/625","480/20772",0.000705742690460522,0.0448773587483143,0.0411533387069295,"ENSG00000001617/ENSG00000004468/ENSG00000007944/ENSG00000018189/ENSG00000100078/ENSG00000112658/ENSG00000114315/ENSG00000116106/ENSG00000125968/ENSG00000130294/ENSG00000134259/ENSG00000136826/ENSG00000144724/ENSG00000149658/ENSG00000154645/ENSG00000156299/ENSG00000166579/ENSG00000167680/ENSG00000169760/ENSG00000171617/ENSG00000173376/ENSG00000178235/ENSG00000179242/ENSG00000182158/ENSG00000184349/ENSG00000197555/ENSG00000198121/ENSG00000277586",28
"GO:0001658","GO:0001658","branching involved in ureteric bud morphogenesis","8/625","65/20772",0.000715840424395271,0.0448773587483143,0.0411533387069295,"ENSG00000100625/ENSG00000105696/ENSG00000106571/ENSG00000125430/ENSG00000138685/ENSG00000141449/ENSG00000178585/ENSG00000205213",8
"GO:0008544","GO:0008544","epidermis development","25/625","410/20772",0.00071673805496669,0.0448773587483143,0.0411533387069295,"ENSG00000007372/ENSG00000074047/ENSG00000075426/ENSG00000080166/ENSG00000096696/ENSG00000100991/ENSG00000101384/ENSG00000104290/ENSG00000106689/ENSG00000110723/ENSG00000114315/ENSG00000118263/ENSG00000120756/ENSG00000128016/ENSG00000128422/ENSG00000129116/ENSG00000131080/ENSG00000136826/ENSG00000138685/ENSG00000158813/ENSG00000164659/ENSG00000166886/ENSG00000185022/ENSG00000197063/ENSG00000205213",25
"GO:0007249","GO:0007249","I-kappaB kinase/NF-kappaB signaling","22/625","342/20772",0.000731577761572238,0.0452038048466215,0.0414526956037677,"ENSG00000010610/ENSG00000067182/ENSG00000077150/ENSG00000080561/ENSG00000100097/ENSG00000100614/ENSG00000106211/ENSG00000114346/ENSG00000116761/ENSG00000123240/ENSG00000131080/ENSG00000132256/ENSG00000137802/ENSG00000145365/ENSG00000145632/ENSG00000152661/ENSG00000158813/ENSG00000166848/ENSG00000168961/ENSG00000172175/ENSG00000198121/ENSG00000213186",22
"GO:0061351","GO:0061351","neural precursor cell proliferation","13/625","153/20772",0.000745876017527843,0.0454518468305943,0.0416801545288176,"ENSG00000007372/ENSG00000064309/ENSG00000080166/ENSG00000104290/ENSG00000106571/ENSG00000106689/ENSG00000115738/ENSG00000138685/ENSG00000138798/ENSG00000148704/ENSG00000159388/ENSG00000176165/ENSG00000184524",13
"GO:0021543","GO:0021543","pallium development","16/625","213/20772",0.000754949755704078,0.0454518468305943,0.0416801545288176,"ENSG00000007372/ENSG00000013810/ENSG00000064309/ENSG00000106571/ENSG00000106689/ENSG00000112658/ENSG00000138772/ENSG00000149571/ENSG00000152977/ENSG00000156925/ENSG00000159388/ENSG00000166579/ENSG00000167680/ENSG00000174469/ENSG00000176165/ENSG00000277586",16
"GO:0072078","GO:0072078","nephron tubule morphogenesis","9/625","82/20772",0.000791438897336136,0.0470455324289936,0.0431415926582562,"ENSG00000100625/ENSG00000105696/ENSG00000106571/ENSG00000114315/ENSG00000125430/ENSG00000138685/ENSG00000141449/ENSG00000178585/ENSG00000205213",9
"GO:0048592","GO:0048592","eye morphogenesis","14/625","175/20772",0.000861533175820971,0.0498339601953298,0.0456986306731584,"ENSG00000007372/ENSG00000064309/ENSG00000101384/ENSG00000106571/ENSG00000111678/ENSG00000112893/ENSG00000116035/ENSG00000134250/ENSG00000138685/ENSG00000138829/ENSG00000179431/ENSG00000182968/ENSG00000197406/ENSG00000198707",14
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","17/625","237/20772",0.000878295068603866,0.0498339601953298,0.0456986306731584,"ENSG00000054267/ENSG00000073712/ENSG00000090006/ENSG00000100614/ENSG00000110195/ENSG00000111846/ENSG00000114374/ENSG00000125968/ENSG00000130513/ENSG00000138829/ENSG00000142611/ENSG00000157077/ENSG00000164056/ENSG00000170345/ENSG00000188766/ENSG00000198369/ENSG00000266524",17
"GO:0048536","GO:0048536","spleen development","6/625","38/20772",0.000880240322517475,0.0498339601953298,0.0456986306731584,"ENSG00000077150/ENSG00000079112/ENSG00000118058/ENSG00000131668/ENSG00000153094/ENSG00000162769",6
"GO:0006936","GO:0006936","muscle contraction","23/625","370/20772",0.000891116844272941,0.0498339601953298,0.0456986306731584,"ENSG00000004468/ENSG00000018625/ENSG00000065534/ENSG00000070961/ENSG00000096696/ENSG00000111678/ENSG00000112658/ENSG00000113448/ENSG00000120457/ENSG00000127914/ENSG00000130176/ENSG00000134769/ENSG00000140416/ENSG00000152413/ENSG00000152661/ENSG00000167460/ENSG00000167657/ENSG00000180209/ENSG00000196689/ENSG00000198363/ENSG00000198947/ENSG00000248746/ENSG00000274286",23
"GO:0031103","GO:0031103","axon regeneration","7/625","52/20772",0.000891408146594486,0.0498339601953298,0.0456986306731584,"ENSG00000041982/ENSG00000110195/ENSG00000116106/ENSG00000136826/ENSG00000172020/ENSG00000172037/ENSG00000277586",7
