"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2","cluster_3"
"ENSG00000142303",5.64484154338323,1.01743706258619,0.371098013118529,2.74169364054562,0.00611233210706246,0.0459372124491125,"ADAMTS10",2,2,6
"ENSG00000142611",151.927784012079,-1.00638114071935,0.117931505115828,-8.53360719623578,1.41853894671366e-17,3.77262720844542e-15,"PRDM16",1,1,5
"ENSG00000142700",4.19532913370338,-2.3909293075323,0.818998200649539,-2.91933401762798,0.00350780142701279,0.0298761041993873,"DMRTA2",1,4,4
"ENSG00000143333",80.678863133632,-1.16158519868659,0.148308742419784,-7.83220988685042,4.79368394073537e-15,8.14876850502944e-13,"RGS16",1,1,1
"ENSG00000144331",35.3470269107698,-1.69973132620154,0.201680680224616,-8.42783415996273,3.52121610236921e-17,8.59208165350885e-15,"ZNF385B",1,1,5
"ENSG00000144476",38.287820666339,1.65984731817132,0.271460110811881,6.11451646876241,9.68501684543874e-10,6.33715249065236e-08,"ACKR3",2,2,2
"ENSG00000145147",392.394523547704,1.43692932877391,0.280330838854187,5.1258339419493,2.96223611065814e-07,1.11981904072093e-05,"SLIT2",2,3,3
"ENSG00000145244",7.48020089271848,1.90708380903325,0.530879094421926,3.59231288078856,0.000327755991194487,0.00467505928962448,"CORIN",2,3,3
"ENSG00000145358",6.86656974499924,-1.78048288120848,0.446815630899724,-3.98482675644815,6.75293749591602e-05,0.00123996866781914,"DDIT4L",1,4,4
"ENSG00000145536",6.35785466832018,1.04675491526455,0.349893080474282,2.99164222923662,0.0027748124664164,0.0251085846224896,"ADAMTS16",2,3,3
"ENSG00000145632",105.444824559812,-1.16583308379074,0.136566332082029,-8.53675328330912,1.38045878416456e-17,3.73153850689991e-15,"PLK2",1,1,5
"ENSG00000145824",15.4934382396007,-1.89935480448531,0.3057859312046,-6.21138715245359,5.25189005519274e-10,3.66942436949462e-08,"CXCL14",1,1,5
"ENSG00000146005",13.9716731770063,-1.28476104174923,0.291832686638275,-4.40238911051689,1.07065315163001e-05,0.000258099412532561,"PSD2",1,1,5
"ENSG00000146242",493.052918537364,-1.16887943031509,0.109210139249605,-10.7030303078687,9.8503176279406e-27,1.01513679604445e-23,"TPBG",1,1,5
"ENSG00000146592",345.543946675443,-1.32677946168821,0.156261895966056,-8.4907421190923,2.05321719384118e-17,5.28992161081989e-15,"CREB5",1,1,5
"ENSG00000146674",2850.36225791297,-1.02030538217484,0.240390422261748,-4.244367860313,2.19210494995271e-05,0.000475441256071599,"IGFBP3",1,1,5
"ENSG00000147145",44.5345407943994,-1.35360603902681,0.252401652338782,-5.36290482445002,8.18941618625448e-08,3.59136392274335e-06,"LPAR4",1,4,4
"ENSG00000148053",60.6648309161556,2.54233157091545,0.281761844686209,9.02298028942412,1.83040513153034e-19,7.71492997367881e-17,"NTRK2",2,2,2
"ENSG00000149090",82.3401132212488,-1.34690919116848,0.232643258572065,-5.78959046325106,7.05582476259344e-09,4.01184463828977e-07,"PAMR1",1,1,1
