"","gene","hetero_vs_control","homo_vs_control","homo_vs_hetero"
"105","MCHR1","absent","absent","pos"
"106","RIBC2","absent","neg","neg"
"107","CDHR3","absent","neg","neg"
"108","FOXP2","absent","neg","neg"
"109","PDE11A","absent","neg","neg"
"110","KCNC1","absent","neg","neg"
"111","AP1M2","absent","absent","neg"
"112","FOXA1","absent","absent","neg"
"113","FOXJ1","absent","neg","neg"
"114","CDH15","absent","neg","neg"
"115","SAT1","absent","pos","pos"
"116","GADD45G","absent","neg","neg"
"117","CACNG6","absent","neg","neg"
"118","RAMP1","absent","neg","neg"
"119","SERPINF1","absent","absent","neg"
"120","DDC","absent","neg","neg"
"121","SYT4","absent","neg","neg"
"122","PLAAT4","absent","neg","neg"
"123","SPINK5","absent","pos","pos"
"124","HMGCS2","absent","neg","neg"
"125","RERG","absent","neg","neg"
"126","PDGFRA","absent","absent","neg"
"127","CD36","absent","neg","neg"
"128","TES","absent","absent","neg"
"129","HTR1B","absent","neg","neg"
"130","KCNH3","absent","neg","neg"
"131","HEY2","absent","neg","neg"
"132","STX11","absent","absent","neg"
"133","CAPN9","absent","neg","neg"
"134","NPL","absent","absent","neg"
"135","NIBAN1","absent","neg","neg"
"136","CNMD","absent","neg","neg"
"137","RPL13AP25","absent","pos","pos"
"138","EDNRB","absent","neg","neg"
"139","DGKB","absent","neg","neg"
"140","GALNT5","absent","neg","neg"
"141","SCN7A","absent","neg","neg"
"142","GAD2","pos","pos","pos"
"143","LMX1B","absent","neg","neg"
"144","CCN3","absent","absent","neg"
"145","PI15","pos","absent","neg"
"146","ITPKA","absent","neg","neg"
"147","ADAMTS14","absent","neg","neg"
"148","MDH1B","absent","neg","neg"
"149","SLC40A1","absent","neg","neg"
"150","ARHGAP24","absent","absent","neg"
"151","MMRN1","absent","neg","neg"
"152","TMEM117","absent","neg","neg"
"153","LUM","absent","neg","neg"
"154","ASCL1","absent","neg","neg"
"155","TTC6","absent","neg","neg"
"156","KCNH5","absent","absent","pos"
"157","FBLN5","absent","neg","neg"
"158","LYSMD2","absent","neg","neg"
"159","WDR93","absent","neg","neg"
"160","IRF8","absent","neg","neg"
"161","MYOCD","absent","neg","neg"
"162","LRRC46","absent","neg","neg"
"163","RXRG","absent","neg","neg"
"164","PPFIA4","absent","pos","pos"
"165","GDF7","absent","neg","neg"
"166","ST6GAL2","absent","neg","neg"
"167","NXPH2","absent","absent","neg"
"168","TMEFF2","absent","neg","neg"
"169","ACKR3","absent","neg","neg"
"170","TRPM8","absent","absent","pos"
"171","GADL1","absent","neg","neg"
"172","ITGA9","absent","neg","neg"
"173","LRTM1","absent","neg","neg"
"174","PHLDB2","absent","neg","neg"
"175","CORIN","absent","neg","neg"
"176","CYP4V2","absent","neg","neg"
"177","ROPN1L","absent","neg","neg"
"178","CDH18","absent","absent","neg"
"179","ADAMTS16","absent","absent","neg"
"180","HAPLN1","absent","neg","neg"
"181","MEGF10","absent","neg","neg"
"182","RSPO3","absent","absent","neg"
"183","IGFBP1","absent","neg","neg"
"184","FRMPD3","absent","neg","neg"
"185","ST18","absent","neg","neg"
"186","SYBU","absent","neg","neg"
"187","NTRK2","absent","neg","neg"
"188","PAMR1","absent","pos","pos"
"189","KIRREL3","absent","absent","neg"
"190","ARID5B","absent","absent","neg"
"191","HNMT","absent","absent","neg"
"192","PIH1D2","absent","neg","neg"
"193","C2orf50","absent","neg","neg"
"194","ENKUR","absent","neg","neg"
"195","PTPRO","absent","absent","neg"
"196","ZNF385D","absent","neg","neg"
"197","SLC35F4","absent","absent","neg"
"198","KCNK13","absent","neg","neg"
"199","GUCY1A2","absent","neg","neg"
"200","GPD1L","absent","neg","neg"
"201","DYNLT5","absent","neg","neg"
"202","DNAI4","absent","neg","neg"
"203","PRDM8","absent","neg","neg"
"204","FAM81B","absent","neg","neg"
"205","ADPRHL1","absent","absent","neg"
"206","CACNA2D1","absent","neg","neg"
"207","HS3ST3A1","absent","absent","neg"
"208","ANKRD29","absent","absent","neg"
"209","DNAAF1","absent","neg","neg"
"210","ACSS1","neg","neg","neg"
"211","CLIC2","absent","absent","neg"
"212","KCNMA1","absent","neg","neg"
"213","SH3RF2","absent","absent","neg"
"214","TMEM171","absent","neg","neg"
"215","CFAP107","absent","absent","neg"
"216","HYDIN","absent","neg","neg"
"217","DRC1","absent","neg","neg"
"218","COLEC12","absent","neg","neg"
"219","SHROOM4","absent","neg","neg"
"220","VWA5B1","absent","neg","neg"
"221","ABCG1","absent","neg","neg"
"222","TFF3","absent","absent","neg"
"223","RSPH1","absent","neg","neg"
"224","COX6B2","absent","pos","pos"
"225","NPHS1","absent","absent","neg"
"226","ELAVL4","absent","neg","neg"
"227","UBXN10","absent","neg","neg"
"228","DIRAS3","absent","neg","neg"
"229","NTNG1","absent","neg","neg"
"230","DNAI3","absent","neg","neg"
"231","VCAM1","absent","neg","neg"
"232","DDR2","absent","neg","neg"
"233","ACTG2","absent","absent","neg"
"234","GABRB1","absent","absent","neg"
"235","CLDN1","absent","absent","neg"
"236","TAFA4","absent","absent","neg"
"237","SERPINI1","absent","absent","neg"
"238","NKX6-1","absent","neg","neg"
"239","GRIK3","absent","neg","neg"
"240","PITX2","absent","neg","neg"
"241","NDST3","absent","neg","neg"
"242","GASK1B","absent","neg","neg"
"243","HHIP","absent","absent","neg"
"244","ZNF474","absent","absent","neg"
"245","TXLNB","absent","neg","neg"
"246","DCBLD1","absent","neg","neg"
"247","SAMD3","absent","absent","neg"
"248","TMEM200A","absent","absent","neg"
"249","SHH","absent","neg","neg"
"250","FNDC1","absent","neg","neg"
"251","C7orf57","absent","neg","neg"
"252","ALDH1A1","absent","pos","pos"
"253","RASEF","absent","neg","neg"
"254","CFAP47","absent","neg","neg"
"255","VEGFD","absent","neg","neg"
"256","AQP3","absent","neg","neg"
"257","ARMC3","absent","neg","neg"
"258","PDZRN4","absent","neg","neg"
"259","TMEM100","absent","neg","neg"
"260","GALR1","absent","neg","neg"
"261","RRAD","absent","neg","neg"
"262","CFAP52","absent","neg","neg"
"263","OR51E2","absent","neg","neg"
"264","TEKT1","absent","neg","neg"
"265","SCARA5","absent","neg","neg"
"266","RHOH","absent","pos","pos"
"267","LGI3","absent","neg","neg"
"268","COL3A1","absent","neg","neg"
"269","DYNLRB2","absent","neg","neg"
"270","FSTL5","absent","absent","neg"
"271","CXCL10","absent","neg","neg"
"272","SCN9A","absent","neg","neg"
"273","ALCAM","absent","absent","neg"
"274","CMTM8","absent","absent","neg"
"275","SEMA3E","absent","neg","neg"
"276","KRT4","absent","neg","neg"
