"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type","cluster_1","cluster_2","cluster_3"
"ENSG00000111907",27.4936085162689,1.42310627742288,0.269680666196147,5.27700519839197,1.31312162785735e-07,1.14266718865326e-06,"TPD52L1","dorsal",3,3,3
"ENSG00000237742",2.53719177188774,-4.83624842539994,1.04556920775925,-4.62546944717743,3.73750900161824e-06,2.49323975747363e-05,"HEY2-AS1","dorsal",1,1,1
"ENSG00000135547",14.3056208317745,-1.24958738363481,0.324689354889667,-3.8485628334179,0.000118812823698208,0.0005770476799914,"HEY2","dorsal",1,1,1
"ENSG00000146374",6.43319507385512,5.14285422310971,1.09096155432046,4.71405633199706,2.42833482555874e-06,1.67613045876961e-05,"RSPO3","dorsal",3,3,3
"ENSG00000196569",3.70227994585,-2.26004352484959,0.74629441755005,-3.02835378598825,0.00245890034635136,0.00854328032985264,"LAMA2","dorsal",1,1,1
"ENSG00000118507",29.5362452861385,-1.13793442073658,0.262831424568764,-4.32952194587701,1.49433378954842e-05,8.87397222707884e-05,"AKAP7","dorsal",5,6,10
"ENSG00000197594",31.2795128195952,-1.68673179364708,0.256761693096894,-6.5692501607339,5.05692653382705e-11,7.27557207112479e-10,"ENPP1","dorsal",5,6,6
"ENSG00000118523",1363.57770112328,5.5608989143168,0.161650637916796,34.4007235973859,2.45944295655519e-259,1.17389212316379e-255,"CCN2","dorsal",4,5,5
"ENSG00000112306",4490.68541614086,-1.01870943162097,0.119482732352198,-8.52599711745897,1.51499036871376e-17,4.32996947896453e-16,"RPS12","dorsal",1,1,1
"ENSG00000200534",6.36671375202171,-1.90159791166824,0.522297250126711,-3.64083462282619,0.00027175565886498,0.00121138431918053,"SNORA33","dorsal",1,1,1
"ENSG00000112319",5.70614689010559,4.97687186798575,1.10813680881965,4.49120706791333,7.08206556713923e-06,4.49503975424941e-05,"EYA4","dorsal",4,7,9
"ENSG00000118513",11.4242455201884,-2.77243260634117,0.479565145065954,-5.78113867295314,7.41966971484929e-09,7.84799635434364e-08,"MYB","dorsal",5,6,10
"ENSG00000135525",41.5216212073573,-2.67132396098879,0.312904922726388,-8.53717460790691,1.37543628661742e-17,3.94884655399996e-16,"MAP7","dorsal",5,6,6
"ENSG00000118503",29.1572573706202,1.78445022912555,0.315682040320049,5.65268213331494,1.57963270664678e-08,1.59230980123022e-07,"TNFAIP3","dorsal",3,3,3
"ENSG00000112379",108.278812668999,-1.83264211847297,0.203196919168518,-9.01904480625069,1.89736391471036e-19,6.35517050169302e-18,"ARFGEF3","dorsal",1,1,1
"ENSG00000135540",67.8116158041473,1.80904289703103,0.194009869890443,9.32448899662989,1.11519667317983e-20,4.19120765439949e-19,"NHSL1","dorsal",3,3,3
"ENSG00000112406",47.6857740168052,1.22013540335039,0.244056859682269,4.99938991650902,5.75119959323235e-07,4.45624604845747e-06,"HECA","dorsal",3,3,3
"ENSG00000112414",10.1103887966444,1.49981642811819,0.45231392353826,3.3158749931591,0.000913566837030437,0.00354436457073463,"ADGRG6","dorsal",3,3,3
"ENSG00000118495",89.8335123595051,4.7456194258322,0.353824123921033,13.4123681936716,5.11780793919301e-41,6.34475254383591e-39,"PLAGL1","dorsal",2,2,2
"ENSG00000283122",2.85418216748841,4.59092346889295,1.18241962125596,3.88265162922151,0.000103323546063103,0.000510653155950494,"HYMAI","dorsal",2,2,2
"ENSG00000118508",70.1779484327743,2.01868029919233,0.19362206644665,10.425879323773,1.88903831397322e-25,9.8539670738734e-24,"RAB32","dorsal",3,3,3
"ENSG00000203727",10.7586300793189,6.6241406711067,1.05957443498607,6.25169922223898,4.06010753677748e-10,5.19541374612303e-09,"SAMD5","dorsal",4,7,9
"ENSG00000111981",13.2480836343099,1.6409862260151,0.410693448666209,3.99564743811827,6.4517689275382e-05,0.000333361765533313,"ULBP1","dorsal",3,3,3
"ENSG00000198729",21.8536001279726,7.65889412107901,1.06605300000949,7.18434648278352,6.7529411673511e-13,1.21514752843607e-11,"PPP1R14C","dorsal",4,7,7
"ENSG00000120278",76.3210660257832,3.49660064894199,0.275901028115307,12.6733875289536,8.30489429132266e-37,8.52457214031893e-35,"PLEKHG1","dorsal",4,5,5
