"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type"
"ENSG00000164398",3.02189228430704,-2.9512903566434,0.685628073086539,-4.30450629501995,1.67358533880293e-05,7.94992845287692e-05,"ACSL6","dorsal"
"ENSG00000072682",27.0122978608592,1.03144332851057,0.215131042133693,4.79448859765008,1.63090339967674e-06,9.20812578217259e-06,"P4HA2","dorsal"
"ENSG00000131435",35.0221886785205,1.33993379141331,0.184603817311307,7.25842948931931,3.91610434653163e-13,5.19286877823616e-12,"PDLIM4","dorsal"
"ENSG00000197375",17.6944799476906,1.10770416685192,0.306624646886668,3.61257380350555,0.000303172778289468,0.00113123325531403,"SLC22A5","dorsal"
"ENSG00000164402",183.611198066881,1.45741339610496,0.120551940935264,12.0895058577911,1.20006323145962e-33,7.53624614221655e-32,"SEPTIN8","dorsal"
"ENSG00000053108",1.91463553760663,-3.38828906154854,0.786508595335259,-4.30801275617877,1.64727887025865e-05,7.83801740268412e-05,"FSTL4","dorsal"
"ENSG00000043143",43.3986688730694,-1.90878667740761,0.173074250859364,-11.0287155248683,2.77804330897352e-28,1.21928626110332e-26,"JADE2","dorsal"
"ENSG00000132570",18.9214272964013,-1.31840420099003,0.215975687729228,-6.10441024567049,1.03180952560945e-09,9.25662004780801e-09,"PCBD2","dorsal"
"ENSG00000224186",9.01986368756502,1.07457088883855,0.351528993287767,3.05684853698224,0.00223677269146501,0.00680090600617483,"PITX1-AS1","dorsal"
"ENSG00000113648",346.967007418664,1.63444635130823,0.147889763611787,11.0517882468098,2.14891113131701e-28,9.49419364876122e-27,"MACROH2A1","dorsal"
"ENSG00000181965",4.89984511504092,2.11297455737186,0.64709579219067,3.2653195753578,0.00109340638695006,0.00358543933454723,"NEUROG1","dorsal"
"ENSG00000145824",199.473688977285,2.61926714126842,0.555195228838977,4.71774072472818,2.3847814386389e-06,1.30405491044958e-05,"CXCL14","dorsal"
"ENSG00000250284",8.49677887824488,1.66783079024557,0.543108963028274,3.07089535209668,0.00213417936140402,0.0065247339019042,"CTB-1I21.1","dorsal"
"ENSG00000152377",33.7014496628026,3.27858961119105,0.290741154354844,11.2766616011629,1.71117055089107e-29,8.15562670675291e-28,"SPOCK1","dorsal"
"ENSG00000061492",6.09517315336801,-3.92457732069416,0.551015409217167,-7.12244567945904,1.06028547162739e-12,1.33336907231732e-11,"WNT8A","dorsal"
"ENSG00000120738",400.572229101303,1.82759928308567,0.487081552279252,3.75214227378062,0.000175329910538648,0.000687210660148537,"EGR1","dorsal"
"ENSG00000120725",32.2777674299477,1.22667358979037,0.217605786671867,5.63713680849905,1.72900751212729e-08,1.31186474229415e-07,"SIL1","dorsal"
"ENSG00000146005",4.78075842128383,2.19714448214302,0.610530567989705,3.59874606995938,0.00031975521317896,0.00118645700616571,"PSD2","dorsal"
"ENSG00000120306",147.447795667224,1.63298707468209,0.129112836745668,12.6477515004865,1.15122547233468e-36,8.45219583916309e-35,"CYSTM1","dorsal"
"ENSG00000113070",65.4209347322422,4.03089850559931,0.280948502253456,14.3474639418539,1.10504788015057e-46,1.31355989086945e-44,"HBEGF","dorsal"
"ENSG00000113119",18.1661504842186,-1.16886407558804,0.245414874176981,-4.76280860933112,1.9091690012658e-06,1.06570529317894e-05,"TMCO6","dorsal"
