#node	identifier	node_degree
E2F7	9606.ENSP00000323246	6
EBF1	9606.ENSP00000322898	38
EBF2	9606.ENSP00000430241	12
ECHDC2	9606.ENSP00000360577	9
EDA2R	9606.ENSP00000379365	4
EDARADD	9606.ENSP00000335076	12
EDN3	9606.ENSP00000337128	22
EDNRA	9606.ENSP00000315011	18
EDNRB	9606.ENSP00000366416	21
EEF1AKMT3	9606.ENSP00000300209	0
EEPD1	9606.ENSP00000242108	0
EFCAB6	9606.ENSP00000262726	12
EFEMP1	9606.ENSP00000378058	14
EFHC2	9606.ENSP00000404232	13
EFHD2	9606.ENSP00000365147	3
EFNB2	9606.ENSP00000493716	46
EGF	9606.ENSP00000265171	149
EGLN3	9606.ENSP00000250457	10
EGR1	9606.ENSP00000239938	86
EGR2	9606.ENSP00000242480	50
EGR3	9606.ENSP00000318057	17
ELF3	9606.ENSP00000352673	12
ELK3	9606.ENSP00000228741	1
EMILIN2	9606.ENSP00000254528	2
EML6	9606.ENSP00000348842	1
EMP1	9606.ENSP00000256951	7
EMP3	9606.ENSP00000469194	5
EMX2	9606.ENSP00000450962	32
EN1	9606.ENSP00000295206	30
ENDOD1	9606.ENSP00000278505	3
ENKUR	9606.ENSP00000331044	14
ENO3	9606.ENSP00000324105	16
ENO4	9606.ENSP00000345555	5
ENPP2	9606.ENSP00000259486	9
ENPP5	9606.ENSP00000360436	1
ENTPD4	9606.ENSP00000351520	8
EOMES	9606.ENSP00000388620	60
EPB41L3	9606.ENSP00000343158	14
EPB41L4B	9606.ENSP00000363694	2
EPCAM	9606.ENSP00000263735	58
EPHA2	9606.ENSP00000351209	57
EPHA3	9606.ENSP00000337451	19
EPHA4	9606.ENSP00000281821	27
EPHA7	9606.ENSP00000358309	13
EPHB1	9606.ENSP00000381097	22
EPHB2	9606.ENSP00000383053	22
EPHB3	9606.ENSP00000332118	16
EPS8L2	9606.ENSP00000435585	11
ERBB4	9606.ENSP00000342235	44
ERICH2	9606.ENSP00000387298	2
ERMN	9606.ENSP00000380453	3
ERRFI1	9606.ENSP00000366702	7
ERVMER34-1	9606.ENSP00000460602	0
ESAM	9606.ENSP00000278927	12
ESRRG	9606.ENSP00000355904	10
ESYT3	9606.ENSP00000374218	1
ETS1	9606.ENSP00000376436	55
ETV2	9606.ENSP00000384524	3
ETV7	9606.ENSP00000341843	3
EXPH5	9606.ENSP00000265843	5
EYA1	9606.ENSP00000496255	26
EYA2	9606.ENSP00000333640	14
F10	9606.ENSP00000364709	13
F2RL1	9606.ENSP00000296677	11
F5	9606.ENSP00000356771	10
F7	9606.ENSP00000364731	13
FAAH	9606.ENSP00000243167	6
FABP5	9606.ENSP00000297258	9
FABP7	9606.ENSP00000348931	31
FAM124A	9606.ENSP00000280057	2
FAM171B	9606.ENSP00000304108	1
FAM174B	9606.ENSP00000329040	0
FAM20A	9606.ENSP00000468308	22
FAM222A	9606.ENSP00000443292	2
FAM237B	9606.ENSP00000490466	1
FAM241B	9606.ENSP00000362376	1
FAM47E	9606.ENSP00000409423	0
FAM72B	9606.ENSP00000358397	1
FAM83G	9606.ENSP00000373647	0
FAM92B	9606.ENSP00000443411	3
FANK1	9606.ENSP00000357682	5
FAS	9606.ENSP00000498466	25
FBLN1	9606.ENSP00000331544	22
FBN1	9606.ENSP00000325527	43
FBXO27	9606.ENSP00000292853	0
FBXO41	9606.ENSP00000428646	0
FERMT1	9606.ENSP00000217289	5
FFAR4	9606.ENSP00000360538	7
FGD3	9606.ENSP00000336914	5
FGF10	9606.ENSP00000264664	87
FGF12	9606.ENSP00000413496	13
FGF18	9606.ENSP00000274625	68
FGF2	9606.ENSP00000264498	138
FGF7	9606.ENSP00000267843	76
FGF8	9606.ENSP00000321797	108
FGF9	9606.ENSP00000371790	77
FGFR2	9606.ENSP00000410294	68
FHAD1	9606.ENSP00000351770	5
FHL1	9606.ENSP00000498684	3
FHL2	9606.ENSP00000386892	23
FILIP1	9606.ENSP00000237172	1
FKBP5	9606.ENSP00000444810	19
FLRT1	9606.ENSP00000246841	14
FLRT2	9606.ENSP00000332879	14
FLRT3	9606.ENSP00000339912	19
FLVCR2	9606.ENSP00000238667	3
FMN1	9606.ENSP00000479134	4
FMNL1	9606.ENSP00000329219	7
FMO5	9606.ENSP00000254090	3
FNDC1	9606.ENSP00000297267	5
FNDC4	9606.ENSP00000264703	0
FOS	9606.ENSP00000306245	142
FOSB	9606.ENSP00000245919	32
FOSL1	9606.ENSP00000310170	44
FOSL2	9606.ENSP00000264716	32
FOXA1	9606.ENSP00000250448	58
