gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
CATSPERG,DNAAF1,0.448,keep,NA,expressed,FALSE,0.0214818190067102,0.000298276544822291
CCNL2,SRSF6,0.403,keep,NA,expressed,FALSE,0.00308195208252196,0.190618583240151
CCNL2,E2F2,0.544,keep,NA,expressed,FALSE,0.00308195208252196,0.00479585999946509
CCNL2,FOXO1,0.418,keep,NA,expressed,FALSE,0.00308195208252196,0.0773664950596631
CCNL2,IGF1R,0.4,keep,NA,expressed,FALSE,0.00308195208252196,0.171417071798311
CD24,GLI1,0.48,keep,NA,NA,FALSE,0.000163679390191586,0.0788665442997865
CD24,KIT,0.669,keep,NA,NA,FALSE,0.000163679390191586,0.0125550723908042
CD24,SHH,0.507,keep,NA,NA,TRUE,0.000163679390191586,1
CD24,PIGM,0.482,keep,NA,NA,FALSE,0.000163679390191586,6.11663502508393e-06
CD24,NES,0.543,keep,NA,NA,FALSE,0.000163679390191586,0.173820223332922
CD24,CXCR4,0.64,keep,NA,NA,FALSE,0.000163679390191586,0.106669358550061
CD24,CNTN1,0.403,keep,NA,NA,FALSE,0.000163679390191586,2.65144160685114e-05
CD24,NCAM1,0.571,keep,NA,NA,FALSE,0.000163679390191586,0.0806611808596926
CDH10,MACROD2,0.48,keep,NA,expressed,FALSE,0.000196736594166434,6.87018055992485e-06
CDH10,TLE2,0.532,keep,NA,expressed,FALSE,0.000196736594166434,0.113906165745265
CDH10,SHANK2,0.555,keep,NA,expressed,FALSE,0.000196736594166434,0.03103521387539
CDH10,NLGN3,0.724,keep,NA,expressed,FALSE,0.000196736594166434,0.0635305170825713
CDH10,CDH6,0.782,keep,NA,expressed,FALSE,0.000196736594166434,0.0162166096621244
CDH10,CDH7,0.827,keep,NA,expressed,FALSE,0.000196736594166434,0.0177319801105296
CDH10,CDH15,0.834,keep,NA,expressed,FALSE,0.000196736594166434,3.23981841784576e-06
CDH15,CDH6,0.841,keep,NA,expressed,FALSE,3.23981841784576e-06,0.0162166096621244
CDH15,CLDN23,0.49,keep,NA,expressed,FALSE,3.23981841784576e-06,0.0167311695433298
CDH15,NCAM1,0.575,keep,NA,expressed,FALSE,3.23981841784576e-06,0.0806611808596926
CDH15,CDH7,0.835,keep,NA,expressed,FALSE,3.23981841784576e-06,0.0177319801105296
CDH6,RUNX2,0.511,keep,NA,expressed,FALSE,0.0162166096621244,0.106668882179129
CDH6,CDH7,0.799,keep,NA,expressed,FALSE,0.0162166096621244,0.0177319801105296
CELSR1,FZD9,0.758,keep,NA,expressed,FALSE,0.0432256505475225,0.00562768889898243
CELSR1,VANGL2,0.975,keep,NA,expressed,FALSE,0.0432256505475225,0.00279506704500166
CELSR2,LYPD6,0.439,keep,NA,expressed,FALSE,0.0396321235814428,0.00164262653338525
CELSR2,SORCS3,0.658,keep,NA,expressed,FALSE,0.0396321235814428,0.000393936530486949
CELSR2,FZD9,0.692,keep,NA,expressed,FALSE,0.0396321235814428,0.00562768889898243
CELSR2,VANGL2,0.755,keep,NA,expressed,FALSE,0.0396321235814428,0.00279506704500166
CEP126,CFAP300,0.527,keep,NA,NA,FALSE,0.00151398161438285,6.96398919365564e-05
CFAP300,ZMYND10,0.628,keep,NA,NA,FALSE,6.96398919365564e-05,0.000426465748510227
CFAP300,DAW1,0.564,keep,NA,NA,FALSE,6.96398919365564e-05,0.000397944356189063
CFAP300,DNAAF4,0.618,keep,NA,NA,FALSE,6.96398919365564e-05,0.000170341566799131
CFAP300,DNAAF1,0.616,keep,NA,NA,FALSE,6.96398919365564e-05,0.000298276544822291
CFAP58,CFAP61,0.628,keep,NA,NA,FALSE,9.99354357021863e-05,9.29409821581927e-06
CFAP58,CFAP65,0.416,keep,NA,NA,FALSE,9.99354357021863e-05,0.000120423302223446
CFAP58,IQCA1,0.437,keep,NA,NA,FALSE,9.99354357021863e-05,0.0227047852633724
CFAP61,IQCA1,0.464,keep,NA,NA,FALSE,9.29409821581927e-06,0.0227047852633724
CHD9,TIAM2,0.434,keep,NA,expressed,FALSE,0.000572936909560125,1.20651460965443e-05
CHD9,RXRA,0.802,keep,NA,expressed,FALSE,0.000572936909560125,0.135757844072098
CHRD,TGFB3,0.458,keep,NA,expressed,FALSE,1.50353944715565e-06,4.81377888782815e-06
CHRD,NKX2-2,0.49,keep,NA,expressed,FALSE,1.50353944715565e-06,0.338227513580033
CHRD,FRZB,0.534,keep,NA,expressed,FALSE,1.50353944715565e-06,0.556107652448465
CHRD,FOXA2,0.537,keep,NA,expressed,FALSE,1.50353944715565e-06,0.420851659651168
