"","gene","category"
"ITM2C","ITM2C","cyclo"
"RAB20","RAB20","cyclo"
"CFAP58","CFAP58","cyclo"
"ALDH1B1","ALDH1B1","cyclo"
"GPSM1","GPSM1","cyclo"
"FTX","FTX","cyclo"
"KCNJ8","KCNJ8","cyclo"
"GNA14","GNA14","cyclo"
"PCSK6","PCSK6","cyclo"
"EPHA5-AS1","EPHA5-AS1","cyclo"
"OSTN","OSTN","cyclo"
"FANCE","FANCE","cyclo"
"CRB1","CRB1","cyclo"
"FANK1","FANK1","cyclo"
"CFAP300","CFAP300","cyclo"
"ARMC2","ARMC2","cyclo"
"TEX45","TEX45","cyclo"
"AP5S1","AP5S1","cyclo"
"PTBP2","PTBP2","cyclo"
"HDC","HDC","cyclo"
"ABCC4","ABCC4","cyclo"
"SLFN13","SLFN13","cyclo"
"ENOSF1","ENOSF1","cyclo"
"SELENOP","SELENOP","cyclo"
"LINC01122","LINC01122","cyclo"
"GAL3ST4","GAL3ST4","cyclo"
"TCTA","TCTA","cyclo"
"ZNF135","ZNF135","cyclo"
"MCM6","MCM6","cyclo"
"ZNF789","ZNF789","cyclo"
"SLC26A2","SLC26A2","cyclo"
"PHF10","PHF10","cyclo"
"LINC00667","LINC00667","cyclo"
"LOC124906976","LOC124906976","cyclo"
"C7orf25","C7orf25","cyclo"
"TTC41P","TTC41P","cyclo"
"MANEAL","MANEAL","cyclo"
"LTO1","LTO1","cyclo"
"CRYL1","CRYL1","cyclo"
"RIIAD1","RIIAD1","cyclo"
"C21orf58","C21orf58","cyclo"
"LHFPL4","LHFPL4","cyclo"
"ZNF718","ZNF718","cyclo"
"TXNL1","TXNL1","cyclo"
"SCRT2","SCRT2","cyclo"
"KCNQ2","KCNQ2","cyclo"
"LINC00638","LINC00638","cyclo"
"FOXN4","FOXN4","cyclo"
"POP5","POP5","cyclo"
"ZSCAN2","ZSCAN2","cyclo"
"RASSF10","RASSF10","cyclo"
"OGT","OGT","cyclo"
"DYRK2","DYRK2","cyclo"
"ALPK3","ALPK3","both"
"GATB","GATB","cyclo"
"LINC00648","LINC00648","cyclo"
"FZD10","FZD10","cyclo"
"GARIN1A","GARIN1A","cyclo"
"WDR19","WDR19","cyclo"
"TNS1","TNS1","cyclo"
"WNT4","WNT4","cyclo"
"CNTN1","CNTN1","cyclo"
"VPS41","VPS41","cyclo"
"ZNF772","ZNF772","cyclo"
