gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
ATP6V1B1,VAX2,0.478,keep,NA,expressed,FALSE,-0.029793180347325,-0.0154678705258859
ATP6V1B1,CA2,0.841,keep,NA,expressed,FALSE,-0.029793180347325,-0.10185160359013
ATP6V1B1,ATP6V1E2,0.999,keep,NA,expressed,FALSE,-0.029793180347325,-3.94801059300536e-05
ATP6V1E2,BCAS4,0.472,keep,NA,expressed,FALSE,-3.94801059300536e-05,-0.00154025195971911
ATXN7,UBC,0.711,keep,NA,expressed,FALSE,-0.000916727777566882,-0.0458791418425467
ATXN7,TADA3,0.996,keep,NA,expressed,FALSE,-0.000916727777566882,-1.02347120980988e-05
B3GALT1,B4GALT1,0.984,keep,NA,expressed,FALSE,-0.027520393462234,-0.000415106987934424
B3GALT1,GCNT2,0.417,keep,NA,expressed,FALSE,-0.027520393462234,-0.0593152543382694
B3GNT2,MAN2A1,0.43,keep,NA,expressed,FALSE,-9.25931128546371e-05,-0.172523348908489
B3GNT2,BEGAIN,0.422,keep,NA,expressed,FALSE,-9.25931128546371e-05,-0.528029401945661
B3GNT2,B4GALT1,0.966,keep,NA,expressed,FALSE,-9.25931128546371e-05,-0.000415106987934424
B3GNT2,GCNT2,0.988,keep,NA,expressed,FALSE,-9.25931128546371e-05,-0.0593152543382694
B4GALT1,LFNG,0.406,keep,NA,expressed,FALSE,-0.000415106987934424,-0.000778153513021093
B4GALT1,NOTCH2,0.463,keep,NA,expressed,FALSE,-0.000415106987934424,-0.0317396477283914
B4GALT1,MAN2A1,0.849,keep,NA,expressed,FALSE,-0.000415106987934424,-0.172523348908489
B4GALT1,GCNT2,0.938,keep,NA,expressed,FALSE,-0.000415106987934424,-0.0593152543382694
BAALC,MAPKBP1,0.446,keep,NA,expressed,FALSE,-9.58284281294533e-05,-8.99937221576958e-05
BAIAP2L1,FAM169A,0.407,keep,NA,expressed,FALSE,-0.0131888951893347,-2.40177229361502e-05
BAIAP2L1,CDC42EP1,0.411,keep,NA,expressed,FALSE,-0.0131888951893347,-9.76307743977852e-05
BAIAP2L1,EGF,0.429,keep,NA,expressed,FALSE,-0.0131888951893347,-0.144556025288887
BAIAP2L1,IP6K3,0.448,keep,NA,expressed,FALSE,-0.0131888951893347,-0.00294790114487256
BAIAP2L1,CCDC6,0.455,keep,NA,expressed,FALSE,-0.0131888951893347,-0.000157198083287896
BAIAP2L1,FARP1,0.515,keep,NA,expressed,FALSE,-0.0131888951893347,-0.00339900999208686
BAIAP2L1,ESPN,0.574,keep,NA,expressed,FALSE,-0.0131888951893347,-0.000129567423605239
BAIAP2L1,TACC3,0.634,keep,NA,expressed,FALSE,-0.0131888951893347,-0.000919618203860543
BARX1,SHH,0.682,keep,NA,expressed,TRUE,-0.0018657382110565,1
BBC3,BTG2,0.415,keep,NA,expressed,FALSE,-0.00785677497126609,-0.00873757141838495
BBC3,FOXO3,0.892,keep,NA,expressed,FALSE,-0.00785677497126609,-0.197110893411986
BBC3,GADD45A,0.608,keep,NA,expressed,FALSE,-0.00785677497126609,-0.33776188014671
BBC3,CHEK2,0.558,keep,NA,expressed,FALSE,-0.00785677497126609,-3.33392379287898e-05
BBC3,BCL2L11,0.971,keep,NA,expressed,FALSE,-0.00785677497126609,-0.528825391896885
BBC3,KMT5A,0.43,keep,NA,expressed,FALSE,-0.00785677497126609,-3.80291040407506e-05
BBC3,DAPK3,0.454,keep,NA,expressed,FALSE,-0.00785677497126609,-0.000265778100962546
