"","Figure4B"
"ENSG00000127084","Cluster 1"
"ENSG00000127334","Cluster 1"
"ENSG00000127418","Cluster 1"
"ENSG00000127419","Cluster 1"
"ENSG00000127445","Cluster 1"
"ENSG00000127585","Cluster 1"
"ENSG00000127720","Cluster 1"
"ENSG00000127914","Cluster 2"
"ENSG00000127920","Cluster 2"
"ENSG00000127922","Cluster 2"
"ENSG00000127990","Cluster 2"
"ENSG00000128000","Cluster 1"
"ENSG00000128016","Cluster 2"
"ENSG00000128039","Cluster 2"
"ENSG00000128283","Cluster 2"
"ENSG00000128422","Cluster 2"
"ENSG00000128564","Cluster 2"
"ENSG00000128567","Cluster 1"
"ENSG00000128610","Cluster 2"
"ENSG00000128872","Cluster 1"
"ENSG00000129038","Cluster 1"
"ENSG00000129116","Cluster 2"
"ENSG00000129167","Cluster 1"
"ENSG00000129675","Cluster 1"
"ENSG00000129910","Cluster 1"
"ENSG00000130024","Cluster 1"
"ENSG00000130164","Cluster 2"
"ENSG00000130176","Cluster 2"
"ENSG00000130287","Cluster 1"
"ENSG00000130294","Cluster 2"
"ENSG00000130340","Cluster 2"
"ENSG00000130413","Cluster 1"
"ENSG00000130513","Cluster 2"
"ENSG00000130540","Cluster 2"
"ENSG00000130558","Cluster 1"
"ENSG00000130695","Cluster 2"
"ENSG00000130700","Cluster 1"
"ENSG00000130725","Cluster 2"
"ENSG00000130734","Cluster 1"
"ENSG00000130940","Cluster 1"
"ENSG00000131019","Cluster 1"
"ENSG00000131069","Cluster 2"
"ENSG00000131080","Cluster 2"
"ENSG00000131263","Cluster 2"
"ENSG00000131375","Cluster 2"
"ENSG00000131477","Cluster 1"
"ENSG00000131668","Cluster 2"
"ENSG00000131730","Cluster 1"
"ENSG00000131773","Cluster 1"
"ENSG00000131781","Cluster 1"
"ENSG00000131848","Cluster 1"
"ENSG00000131914","Cluster 1"
"ENSG00000131981","Cluster 2"
"ENSG00000132016","Cluster 1"
"ENSG00000132196","Cluster 2"
"ENSG00000132199","Cluster 1"
"ENSG00000132256","Cluster 2"
"ENSG00000132321","Cluster 1"
"ENSG00000132669","Cluster 1"
"ENSG00000132680","Cluster 2"
"ENSG00000132688","Cluster 1"
"ENSG00000133027","Cluster 2"
"ENSG00000133030","Cluster 1"
"ENSG00000133056","Cluster 1"
"ENSG00000133124","Cluster 2"
"ENSG00000133863","Cluster 1"
"ENSG00000133884","Cluster 2"
"ENSG00000134013","Cluster 2"
"ENSG00000134115","Cluster 1"
"ENSG00000134138","Cluster 2"
"ENSG00000134215","Cluster 2"
"ENSG00000134222","Cluster 2"
"ENSG00000134250","Cluster 2"
"ENSG00000134259","Cluster 2"
"ENSG00000134369","Cluster 2"
"ENSG00000134376","Cluster 1"
"ENSG00000134490","Cluster 2"
"ENSG00000134532","Cluster 1"
"ENSG00000134533","Cluster 1"
"ENSG00000134569","Cluster 1"
"ENSG00000134744","Cluster 2"
"ENSG00000134769","Cluster 2"
"ENSG00000134852","Cluster 2"
"ENSG00000134982","Cluster 1"
"ENSG00000135045","Cluster 2"
"ENSG00000135090","Cluster 1"
"ENSG00000135248","Cluster 2"
"ENSG00000135406","Cluster 2"
"ENSG00000135454","Cluster 1"
"ENSG00000135637","Cluster 1"
"ENSG00000135862","Cluster 2"
"ENSG00000135916","Cluster 1"
"ENSG00000136014","Cluster 1"
"ENSG00000136044","Cluster 1"
"ENSG00000136104","Cluster 1"
"ENSG00000136193","Cluster 2"
"ENSG00000136197","Cluster 1"
"ENSG00000136327","Cluster 1"
"ENSG00000136352","Cluster 1"
"ENSG00000136383","Cluster 1"
"ENSG00000136448","Cluster 2"
"ENSG00000136478","Cluster 1"
"ENSG00000136485","Cluster 1"
"ENSG00000136541","Cluster 1"
"ENSG00000136720","Cluster 1"
"ENSG00000136826","Cluster 2"
"ENSG00000136859","Cluster 1"
"ENSG00000136868","Cluster 2"
"ENSG00000137094","Cluster 2"
"ENSG00000137124","Cluster 1"
"ENSG00000137154","Cluster 1"
"ENSG00000137166","Cluster 2"
"ENSG00000137309","Cluster 2"
"ENSG00000137393","Cluster 1"
"ENSG00000137628","Cluster 2"
"ENSG00000137691","Cluster 1"
"ENSG00000137700","Cluster 1"
"ENSG00000137802","Cluster 2"
"ENSG00000137818","Cluster 2"
"ENSG00000137875","Cluster 2"
"ENSG00000137962","Cluster 2"
"ENSG00000138029","Cluster 1"
"ENSG00000138069","Cluster 2"
"ENSG00000138134","Cluster 1"
"ENSG00000138166","Cluster 2"
"ENSG00000138385","Cluster 1"
"ENSG00000138400","Cluster 1"
"ENSG00000138413","Cluster 1"
"ENSG00000138434","Cluster 2"
"ENSG00000138495","Cluster 2"
"ENSG00000138606","Cluster 1"
"ENSG00000138646","Cluster 2"
"ENSG00000138650","Cluster 2"
"ENSG00000138653","Cluster 2"
"ENSG00000138658","Cluster 2"
"ENSG00000138670","Cluster 2"
"ENSG00000138685","Cluster 2"
"ENSG00000138709","Cluster 2"
"ENSG00000138768","Cluster 2"
"ENSG00000138771","Cluster 2"
"ENSG00000138772","Cluster 2"
"ENSG00000138798","Cluster 2"
"ENSG00000138823","Cluster 1"
"ENSG00000138829","Cluster 2"
"ENSG00000138944","Cluster 1"
"ENSG00000139174","Cluster 2"
"ENSG00000139289","Cluster 2"
"ENSG00000139352","Cluster 1"
"ENSG00000139354","Cluster 2"
"ENSG00000139364","Cluster 2"
"ENSG00000139438","Cluster 2"
"ENSG00000139445","Cluster 1"
"ENSG00000139613","Cluster 1"
"ENSG00000139679","Cluster 2"
"ENSG00000139800","Cluster 2"
"ENSG00000139832","Cluster 1"
"ENSG00000139910","Cluster 1"
"ENSG00000139974","Cluster 1"
"ENSG00000140105","Cluster 2"
"ENSG00000140287","Cluster 1"
"ENSG00000140332","Cluster 1"
"ENSG00000140416","Cluster 2"
"ENSG00000140443","Cluster 1"
"ENSG00000140455","Cluster 1"
"ENSG00000140474","Cluster 1"
"ENSG00000140479","Cluster 1"
"ENSG00000140534","Cluster 2"
"ENSG00000140538","Cluster 1"
"ENSG00000140743","Cluster 2"
"ENSG00000140807","Cluster 1"
"ENSG00000140931","Cluster 1"
"ENSG00000140937","Cluster 2"
"ENSG00000140943","Cluster 1"
"ENSG00000140950","Cluster 1"
"ENSG00000141012","Cluster 1"
"ENSG00000141052","Cluster 1"
"ENSG00000141179","Cluster 1"
"ENSG00000141198","Cluster 2"
"ENSG00000141294","Cluster 1"
"ENSG00000141441","Cluster 2"
"ENSG00000141449","Cluster 2"
"ENSG00000141458","Cluster 2"
"ENSG00000141622","Cluster 1"
"ENSG00000141744","Cluster 1"
"ENSG00000142089","Cluster 2"
"ENSG00000142149","Cluster 2"
"ENSG00000142186","Cluster 2"
"ENSG00000142227","Cluster 2"
"ENSG00000142538","Cluster 2"
"ENSG00000142549","Cluster 1"
"ENSG00000142611","Cluster 2"
"ENSG00000142621","Cluster 1"
"ENSG00000142634","Cluster 1"
"ENSG00000143013","Cluster 2"
"ENSG00000143067","Cluster 1"
"ENSG00000143126","Cluster 1"
"ENSG00000143127","Cluster 2"
"ENSG00000143162","Cluster 2"
"ENSG00000143258","Cluster 1"
"ENSG00000143315","Cluster 1"
"ENSG00000143333","Cluster 2"
"ENSG00000143473","Cluster 2"
"ENSG00000143570","Cluster 1"
"ENSG00000143669","Cluster 1"
"ENSG00000143768","Cluster 2"
"ENSG00000144040","Cluster 1"
"ENSG00000144331","Cluster 2"
"ENSG00000144369","Cluster 2"
"ENSG00000144406","Cluster 2"
"ENSG00000144476","Cluster 1"
"ENSG00000144481","Cluster 2"
"ENSG00000144566","Cluster 2"
"ENSG00000144579","Cluster 1"
"ENSG00000144724","Cluster 2"
"ENSG00000144749","Cluster 2"
"ENSG00000144810","Cluster 1"
"ENSG00000144852","Cluster 1"
"ENSG00000144857","Cluster 2"
"ENSG00000144893","Cluster 2"
"ENSG00000145012","Cluster 2"
"ENSG00000145022","Cluster 1"
"ENSG00000145029","Cluster 1"
"ENSG00000145217","Cluster 1"
"ENSG00000145365","Cluster 2"
"ENSG00000145391","Cluster 2"
"ENSG00000145626","Cluster 2"
"ENSG00000145632","Cluster 2"
"ENSG00000145642","Cluster 2"
"ENSG00000145824","Cluster 2"
"ENSG00000146013","Cluster 1"
"ENSG00000146232","Cluster 2"
"ENSG00000146242","Cluster 2"
"ENSG00000146247","Cluster 2"
"ENSG00000146278","Cluster 1"
"ENSG00000146411","Cluster 2"
"ENSG00000146426","Cluster 1"
"ENSG00000146592","Cluster 2"
"ENSG00000147065","Cluster 2"
"ENSG00000147162","Cluster 1"
"ENSG00000147454","Cluster 2"
"ENSG00000147642","Cluster 1"
"ENSG00000147853","Cluster 1"
"ENSG00000148053","Cluster 1"
"ENSG00000148175","Cluster 1"
"ENSG00000148248","Cluster 2"
"ENSG00000148584","Cluster 2"
"ENSG00000148700","Cluster 2"
"ENSG00000148704","Cluster 2"
"ENSG00000148814","Cluster 1"
"ENSG00000148826","Cluster 1"
"ENSG00000148950","Cluster 2"
