"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","EN","is_DE","is_highly_DE","FCsign"
"ENSG00000179532",19.2070053869317,0.340512935736556,0.27637851393174,1.23205284988491,0.217929342687393,0.354904932297606,"DNHD1","ENSG00000179532",FALSE,FALSE,"pos"
"ENSG00000179546",11.1355242551337,0.133439152468843,0.245955333101409,0.542534088552676,0.587450630768107,0.715215099229401,"HTR1D","ENSG00000179546",FALSE,FALSE,"pos"
"ENSG00000179562",20.3429510497841,-0.265087418833758,0.168613204427437,-1.57216286668603,0.115912784786148,0.220154150802458,"GCC1","ENSG00000179562",FALSE,FALSE,"neg"
"ENSG00000179583",1.20772965664156,0.273653511085342,0.638557373697146,0.428549606280374,0.668251025735658,0.77937739538986,"CIITA","ENSG00000179583",FALSE,FALSE,"pos"
"ENSG00000179588",7.21554188370611,-0.813734175644958,0.368434930579071,-2.20862385215758,0.0272008148869702,0.0709539551886271,"ZFPM1","ENSG00000179588",FALSE,FALSE,"neg"
"ENSG00000179598",16.72326097914,-0.0643399547508013,0.184798266169123,-0.348163194842526,0.727717626879285,0.823162231641427,"PLD6","ENSG00000179598",FALSE,FALSE,"neg"
"ENSG00000179603",2.20747574360962,-2.56536145355994,0.757766410002953,-3.38542513853305,0.000710680914268246,0.00372682331142559,"GRM8","ENSG00000179603",TRUE,TRUE,"neg"
"ENSG00000179604",62.1224232479311,-0.167275323972931,0.171390742292903,-0.975988094427302,0.329070364219773,0.477310674559993,"CDC42EP4","ENSG00000179604",FALSE,FALSE,"neg"
"ENSG00000179627",5.98054742497446,-2.56317165317371,0.48603631945231,-5.27362164223041,1.33757525440875e-07,2.78024570737818e-06,"ZBTB42","ENSG00000179627",TRUE,TRUE,"neg"
"ENSG00000179630",1.56395032546152,-0.200544152356869,0.529153212690062,-0.378990711097378,0.704694761696843,0.806722347148243,"LACC1","ENSG00000179630",FALSE,FALSE,"neg"
"ENSG00000179632",79.9887398323851,-0.253956653977042,0.103455985257388,-2.45473138499647,0.0140989896449383,0.0422969689348148,"MAF1","ENSG00000179632",FALSE,FALSE,"neg"
"ENSG00000179673",5.72072448092779,-0.858928329363993,0.369990019201234,-2.32149053971326,0.0202603840893212,0.0563762644394721,"RPRML","ENSG00000179673",FALSE,FALSE,"neg"
"ENSG00000179698",0.993683601265218,-0.249047047900838,0.667535631589884,-0.373084276127219,0.709085721031559,0.809556253796707,"WDR97","ENSG00000179698",FALSE,FALSE,"neg"
"ENSG00000179715",1.42936191858255,-0.227134576616908,0.55545615720543,-0.408915399839387,0.682601747216016,0.79054751983873,"PCED1B","ENSG00000179715",FALSE,FALSE,"neg"
"ENSG00000179743",26.9424094646874,0.46233215255045,0.176793950321831,2.61509034505328,0.0089203856602778,0.0293667963382031,"SPEN-AS1","ENSG00000179743",FALSE,FALSE,"pos"
"ENSG00000179761",6.05233953869009,0.990942623634966,0.304100940169918,3.25859769812376,0.00111964317283982,0.00540075705464123,"PIPOX","ENSG00000179761",FALSE,FALSE,"pos"
"ENSG00000179766",1.35662233371587,0.694269390314632,0.594872210923903,1.16708996918238,0.243174038271048,0.384311106957743,NA,"ENSG00000179766",FALSE,FALSE,"pos"
