#node	identifier	node_degree
PSD3	9606.ENSP00000324127	0
PTCH1	9606.ENSP00000332353	25
PTPRG	9606.ENSP00000418112	2
PTTG1	9606.ENSP00000377536	7
QKI	9606.ENSP00000355094	5
RAB11FIP1	9606.ENSP00000331342	5
RAB1A	9606.ENSP00000387286	11
RAB31	9606.ENSP00000461945	2
RAB5A	9606.ENSP00000273047	12
RASA2	9606.ENSP00000286364	0
RASGEF1B	9606.ENSP00000264400	1
RASGRF2	9606.ENSP00000265080	1
RASSF3	9606.ENSP00000443021	0
RERG	9606.ENSP00000256953	1
REV3L	9606.ENSP00000351697	5
RGMA	9606.ENSP00000452126	1
RGS16	9606.ENSP00000356529	5
RHOU	9606.ENSP00000355652	3
RIPPLY3	9606.ENSP00000331734	0
RNASEH2B	9606.ENSP00000337623	1
RNF150	9606.ENSP00000425840	1
RORA	9606.ENSP00000261523	7
RPLP1	9606.ENSP00000346037	3
RPS6KA6	9606.ENSP00000262752	0
RRAGD	9606.ENSP00000358423	3
RRBP1	9606.ENSP00000367038	6
RTL1	9606.ENSP00000497482	4
RTN4	9606.ENSP00000337838	7
RUNX2	9606.ENSP00000360493	35
RXRA	9606.ENSP00000419692	8
S1PR1	9606.ENSP00000305416	8
SALL1	9606.ENSP00000251020	6
SAMD4A	9606.ENSP00000452535	0
SCFD1	9606.ENSP00000390783	9
SCG3	9606.ENSP00000220478	2
SCRN1	9606.ENSP00000388942	0
SEC23A	9606.ENSP00000306881	10
SEM1	9606.ENSP00000481021	8
SEMA3F	9606.ENSP00000002829	5
SEPTIN3	9606.ENSP00000494051	1
SERTAD4	9606.ENSP00000355979	0
