"gene","W3-1","W4-1","W5-1"
"OSTN",0,0,0.165508109897385
"FGF12",6.6147859922179,3,12.975835815955
"HES1",79.7665369649805,89.8571428571429,15.4584574644158
"ZNF718",7.78210116731517,8.42857142857143,3.60807679576299
"TMEM175",8.17120622568093,4,12.5786163522013
"SLC26A1",0,0.285714285714286,0.099304865938431
"FGFRL1",2.72373540856031,15,3.21085733200927
"TACC3",33.4630350194552,39,5.92519033432638
"FGFR3",1.94552529182879,10.5714285714286,4.79973518702416
"HGFAC",0,0.428571428571429,0.529625951671632
"CD38",0,0,0.099304865938431
"FAM184B",0.389105058365759,1,0.397219463753724
"PPARGC1A",0.778210116731518,1.14285714285714,0.397219463753724
"ARAP2",0,0.714285714285714,0.132406487917908
"KLHL5",5.83657587548638,20.7142857142857,12.0158887785501
"WDR19",6.22568093385214,17.4285714285714,9.89738497186362
"SPATA18",0.778210116731518,0.142857142857143,0.397219463753724
"KIT",1.55642023346304,11.1428571428571,2.54882489241973
"SRD5A3",19.4552529182879,8.28571428571428,9.73187686196624
"CLOCK",13.2295719844358,19,15.0943396226415
"HOPX",7.00389105058366,1.14285714285714,0.99304865938431
"IGFBP7",1.55642023346304,1.14285714285714,1.62197947699437
"RUFY3",13.6186770428016,33.1428571428571,70.9036742800397
"USO1",34.6303501945525,33.5714285714286,38.0337636544191
"SHROOM3",16.3424124513619,34.7142857142857,4.20390599139358
"ANXA3",0.389105058365759,1.71428571428571,0.728235683548494
"RASGEF1B",1.16731517509728,12.4285714285714,26.5143992055611
"HERC5",2.33463035019455,2.71428571428571,0.165508109897385
"MTTP",1.16731517509728,2,3.27706057596822
"COL25A1",0,3.42857142857143,1.35716650115856
"EGF",0,0.571428571428571,0.066203243958954
"TIFA",0.778210116731518,8,9.00364117841774
"NEUROG2",1.55642023346304,4.42857142857143,37.1731214829527
"NDST4",0,6.85714285714286,1.98609731876862
"SYNPO2",0,0.142857142857143,0.33101621979477
"MAD2L1",80.5447470817121,78.8571428571429,23.4028467394902
"NDNF",2.72373540856031,6.57142857142857,13.3068520357498
"ANXA5",74.3190661478599,57.2857142857143,44.8857994041708
"FGF2",5.83657587548638,27.5714285714286,4.6011254551473
"SPRY1",43.579766536965,48.8571428571429,4.43561734524992
"LARP1B",9.33852140077821,19.7142857142857,17.5769612711023
"PGRMC2",42.4124513618677,41.7142857142857,37.471036080768
"PCDH10",1.16731517509728,4.28571428571429,2.151605428666
"PCDH18",15.5642023346303,33,17.0142336974512
"RAB33B",4.66926070038911,9.14285714285714,6.28930817610063
"SETD7",6.22568093385214,9.57142857142857,3.47567030784508
"TBC1D9",1.16731517509728,11.8571428571429,9.53326713008937
"RNF150",0.778210116731518,6.28571428571429,18.0072823568355
"FBXW7",15.1750972762646,20.1428571428571,27.6729559748428
"TMEM154",1.16731517509728,1.28571428571429,0.198609731876862
"CPE",24.9027237354086,79,75.571002979146
"DDX60",1.55642023346304,1.14285714285714,0.33101621979477
"PALLD",19.8443579766537,52.5714285714286,21.8470705064548
"SH3RF1",7.78210116731517,17.4285714285714,21.9794769943727
"HPGD",0,1,0.529625951671632
"AGA",14.7859922178988,9,16.4184045018206
"WWC2-AS2",2.33463035019455,1.57142857142857,0.198609731876862
"STOX2",16.3424124513619,17.5714285714286,26.2164846077458
"SNX25",2.33463035019455,7.28571428571429,2.71433300231711
"PDLIM3",6.6147859922179,5.85714285714286,1.91989407480967
"PLEKHG4B",21.7898832684825,24,10.824230387289
"DAP",46.692607003891,35.2857142857143,36.6765971532605
"BASP1",75.0972762645914,80.8571428571429,98.7090367428004
"CDH10",0.389105058365759,1.42857142857143,6.52101952995697
"CDH6",16.3424124513619,29.1428571428571,20.0926845415425
"UGT3A1",1.55642023346304,0.571428571428571,0.099304865938431
"OXCT1",16.3424124513619,31.8571428571429,31.0162197947699
"EMB",12.4513618677043,9.71428571428571,6.38861304203906
"GPX8",58.7548638132296,47.8571428571429,7.81198278715657
"PLK2",3.50194552529183,10.2857142857143,9.96358821582258
"PDE4D",1.16731517509728,2.57142857142857,3.07845084409136
"PART1",0,1.71428571428571,0.496524329692155
"LRRC70",0,0.142857142857143,0
"FOXD1",1.94552529182879,45.7142857142857,2.94604435617345
"ENC1",45.5252918287938,16.2857142857143,53.8563389606091
"FAM169A",3.11284046692607,10.2857142857143,6.75273088381331
"HOMER1",26.0700389105058,23.8571428571429,24.3296921549156
"ANKRD34B",1.16731517509728,1.14285714285714,0
"RASGRF2",0,0.571428571428571,0.165508109897385
"CKMT2",0,0,0.132406487917908
"ERAP1",1.94552529182879,1.71428571428571,1.45647136709699
"EFNA5",49.4163424124514,56.7142857142857,28.732207878186
"MAN2A1",36.5758754863813,31.7142857142857,4.99834491890103
"APC",12.4513618677043,32.4285714285714,41.5756372062231
"KCNN2",11.6731517509728,4.71428571428571,5.29625951671632
"ALDH7A1",84.4357976653696,68.8571428571429,55.2135054617676
"PRRC1",20.6225680933852,24.8571428571429,23.5683548493876
"FBN2",17.5097276264591,53.2857142857143,7.41476332340285
"RAD50",66.9260700389105,65,52.7970870572658
"CXCL14",1.94552529182879,3.57142857142857,0.397219463753724
"PKD2L2",0,0.714285714285714,0.132406487917908
"KIF20A",15.1750972762646,21.5714285714286,2.48262164846077
"GFRA3",0.389105058365759,0.428571428571429,2.74743462429659
"CDC25C",16.7315175097276,21.7142857142857,1.98609731876862
"EGR1",18.6770428015564,9.85714285714286,30.5858987090367
"SLC26A2",7.78210116731517,14,7.67957629923866
"TIGD6",5.44747081712062,4.71428571428571,5.759682224429
"GRIA1",0.778210116731518,12.7142857142857,6.6203243958954
"PTTG1",78.988326848249,77.7142857142857,28.9639192320424
"GABRG2",0.389105058365759,0,6.38861304203906
"HMMR",26.4591439688716,49.1428571428571,6.65342601787488
"DUSP1",48.6381322957198,31.4285714285714,86.3621317444555
"ERGIC1",29.1828793774319,35.8571428571429,30.6521019529957
"TMED9",87.9377431906615,73.5714285714286,81.5292949354518
"COL23A1",1.94552529182879,3.71428571428571,0.628930817610063
"GRM6",0,0,0.066203243958954
"RPP40",35.7976653696498,24.2857142857143,13.1082423038729
"DSP",26.0700389105058,31.5714285714286,14.9950347567031
"GCNT2",4.66926070038911,8.85714285714286,4.27010923535253
