"","genes","state"
"363","FAM107A","Het_Con"
"364","LGI3","Het_Con"
"365","BMP1","Het_Con"
"366","GBX2","Het_Con"
"367","COL3A1","Het_Con"
"368","FSTL5","Het_Con"
"369","INPP5D","common"
"370","ATF5","Het_Con"
"371","PCSK9","Het_Con"
"372","GPR183","Het_Con"
"373","MT1E","Het_Con"
"374","PCDH7","Het_Con"
"375","ALCAM","Het_Con"
"376","VGLL2","Het_Con"
"377","CMTM8","Het_Con"
"378","KRT4","common"
"379","IRX1","common"
"380","ZNF296","Het_Con"
"381","GPR37","Het_Con"
"382","PDGFD","common"
"383","FUT3","Het_Con"
"384","JUNB","Het_Con"
"385","KRT19","Het_Con"
"386","KCND3","common"
"387","HOPX","common"
"388","OTP","Het_Con"
"389","ECEL1","Het_Con"
"390","ENC1","Het_Con"
"391","VAT1L","common"
"392","NHLH1","Het_Con"
"393","FRMD5","Het_Con"
"394","NEGR1","Het_Con"
"395","RCAN2","Het_Con"
"396","FUT9","Het_Con"
"397","PDE3A","Het_Con"
"398","RND1","Het_Con"
"399","RAB37","Het_Con"
"400","BNC2","Het_Con"
"401","SNCG","Het_Con"
"402","NDNF","Het_Con"
"403","INSM1","Het_Con"
"404","NUDT4","Het_Con"
"405","SUSD5","Het_Con"
"406","WFIKKN2","Het_Con"
"407","ZCCHC12","Het_Con"
"408","TTC9B","Het_Con"
"409","KY","Het_Con"
"410","FGFBP3","Het_Con"
"411","CD248","Het_Con"
"412","CADM2","Het_Con"
"413","ETV4","Het_Con"
"414","CRYBG2","Het_Con"
"415","FOXG1","common"
"416","FOXC2","Het_Con"
"417","BDNF","Het_Con"
"418","NCKAP5","Het_Con"
"419","IRX5","Het_Con"
"420","SOX11","Het_Con"
"421","TCIM","Het_Con"
"422","ERICH5","Het_Con"
"423","IRX3","Het_Con"
"424","ADAMTSL1","Het_Con"
"425","MAF","Het_Con"
"426","PARP10","Het_Con"
"427","THBD","Het_Con"
"428","C14orf39","Het_Con"
"429","ZFP42","Het_Con"
"430","TMEM125","Het_Con"
"431","EGR3","Het_Con"
"432","NRXN1","Het_Con"
"433","SERTM1","common"
"434","GLIPR1L2","Het_Con"
"435","GSX2","Het_Con"
"436","ZNF594","Het_Con"
"437","GPR157","Het_Con"
"438","ARSJ","Het_Con"
"439","ADGRB1","Het_Con"
"440","KCNIP1","Het_Con"
"441","GABRG3","Het_Con"
"442","NXPH4","Het_Con"
"443","SOX1","common"
"444","CAMK1D","Het_Con"
"445","GAS6","Het_Con"
"446","BEGAIN","common"
"447","RIPPLY3","common"
"448","TMEM119","Het_Con"
"449","CHST6","Het_Con"
"450","GRIN2A","Het_Con"
"451","NOG","Het_Con"
"452","KCNH8","Het_Con"
"453","CNTN2","Het_Con"
"454","KCNJ12","Het_Con"
"455","PCDH9","Het_Con"
"456","KCNK12","Het_Con"
"457","SIX6","Het_Con"
"458","SLIT3","Het_Con"
"459","SLITRK6","Het_Con"
"460","NELL2","Het_Con"
"461","PRR16","Het_Con"
"462","SORCS2","Het_Con"
