"","genes","state"
"478","STEAP3","C_Hom_DE"
"479","POMC","C_Hom_DE"
"480","TANC1","C_Hom_DE"
"481","APC2","C_Hom_DE"
"482","IFIH1","C_Hom_DE"
"483","EFEMP1","C_Hom_DE"
"484","STAT1","C_Hom_DE"
"485","DNAH6","C_Hom_DE"
"486","IGFBP2","C_Hom_DE"
"487","IGFBP5","C_Hom_DE"
"488","KCNJ13","C_Hom_DE"
"489","OTX1","C_Hom_DE"
"490","CHMP3","C_Hom_DE"
"491","PASK","C_Hom_DE"
"492","ID2","common"
"493","HPCAL1","C_Hom_DE"
"494","QPCT","common"
"495","DLX2","C_Hom_DE"
"496","SLC1A4","C_Hom_DE"
"497","TRAK2","C_Hom_DE"
"498","EPAS1","C_Hom_DE"
"499","ARID3A","C_Hom_DE"
"500","FARSB","C_Hom_DE"
"501","ALMS1","C_Hom_DE"
"502","PRRX1","C_Hom_DE"
"503","RPL22","C_Hom_DE"
"504","OPRD1","C_Hom_DE"
"505","TRIM62","C_Hom_DE"
"506","SFPQ","C_Hom_DE"
"507","FBXO2","C_Hom_DE"
"508","SWT1","C_Hom_DE"
"509","GADD45A","C_Hom_DE"
"510","WLS","common"
"511","RGS2","C_Hom_DE"
"512","OLFML3","C_Hom_DE"
"513","PHTF1","C_Hom_DE"
"514","KIF21B","C_Hom_DE"
"515","OSCP1","C_Hom_DE"
"516","NID1","C_Hom_DE"
"517","BMP8B","C_Hom_DE"
"518","KMO","C_Hom_DE"
"519","ACADM","C_Hom_DE"
"520","KDM5B","C_Hom_DE"
"521","IGSF21","C_Hom_DE"
"522","PRPF3","C_Hom_DE"
"523","SLC2A1","C_Hom_DE"
"524","PIK3R3","C_Hom_DE"
"525","FAAH","C_Hom_DE"
"526","F3","C_Hom_DE"
"527","MTARC2","C_Hom_DE"
"528","COLEC11","C_Hom_DE"
"529","APOA1","common"
"530","SLC8A2","C_Hom_DE"
"531","NRP2","common"
"532","TTR","common"
"533","B4GALT6","C_Hom_DE"
"534","CA14","C_Hom_DE"
"535","DNAI7","C_Hom_DE"
"536","FILIP1","common"
