"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2"
"ENSG00000152669",3.23342577431296,2.17721608671183,0.506638374190238,4.29737698055675,1.72831122107105e-05,8.99826048828224e-05,"CCNO",2,5
"ENSG00000152760",15.9010799393059,-2.31433525973049,0.509997792253374,-4.53793191830269,5.68085932062975e-06,3.20348050699284e-05,"DYNLT5",1,1
"ENSG00000152784",2.67722298147079,-1.79359888367347,0.543443648405776,-3.300432140361,0.000965360562732463,0.0033921272447399,"PRDM8",1,1
"ENSG00000152785",23.3670973150064,-5.73776046049127,0.49141241298606,-11.6760592709204,1.68947986713892e-31,7.48957688301795e-30,"BMP3",1,1
"ENSG00000152952",49.7174055337724,-1.35113316885626,0.161678898424052,-8.35689247036125,6.43919437939369e-17,1.22058343629465e-15,"PLOD2",1,1
"ENSG00000152977",188.777521017014,7.06739653453327,0.252253967906134,28.0169885659167,1.00897957531385e-172,9.86663321177493e-170,"ZIC1",2,4
"ENSG00000153012",18.587285415037,1.50104390269277,0.178531557412356,8.40772311880858,4.18046593607596e-17,8.0249498523472e-16,"LGI2",2,2
"ENSG00000153233",3.96174292785913,3.17874872065141,0.522453658890385,6.08426922954775,1.17023819784671e-09,1.15591442667877e-08,"PTPRR",2,4
"ENSG00000153234",5.13263588902156,2.51722777031265,0.454687337922277,5.53617301465945,3.09152185889067e-08,2.53419424961531e-07,"NR4A2",2,2
"ENSG00000153253",89.3991629325176,1.05595152827421,0.116225873445186,9.08533958036644,1.03375474429853e-19,2.41025790592129e-18,"SCN3A",2,4
"ENSG00000153551",86.4989418909633,-1.26701258813976,0.108135575544521,-11.7168894858114,1.04436557202659e-31,4.67965856317252e-30,"CMTM7",1,1
"ENSG00000153789",6.69631032446748,-1.64934800642423,0.343473613256595,-4.80196423470838,1.57116760260878e-06,9.87116032719894e-06,"CIBAR2",1,1
"ENSG00000153823",5.08036954384183,1.45779938563277,0.339796836848405,4.29020881757987,1.7850519414186e-05,9.25598985469209e-05,"PID1",2,2
"ENSG00000153885",78.8231750701451,-1.04999310581898,0.108593716036197,-9.66900428629768,4.0833144864485e-22,1.10916699383529e-20,"KCTD15",1,1
"ENSG00000153930",3.96662433214486,-1.79319211194482,0.455228506189883,-3.93910330210483,8.17867122370929e-05,0.000370010691145506,"ANKFN1",1,1
"ENSG00000154080",10.4337409662031,-1.35432275333767,0.290298703180891,-4.66527317724104,3.08207305970546e-06,1.83511398798508e-05,"CHST9",1,1
"ENSG00000154099",2.40782606460349,-2.97586158441555,0.68127237950984,-4.3680936933868,1.25335726475812e-05,6.66745957418848e-05,"DNAAF1",1,1
"ENSG00000154102",6.25079244758341,-1.14323258294574,0.281372482280078,-4.06305753029454,4.84340862354495e-05,0.000230443116650862,"C16orf74",1,1
"ENSG00000154134",37.0042248447543,1.37571892099469,0.163596612993665,8.40921395510775,4.12767564187585e-17,7.94195368872038e-16,"ROBO3",2,2
"ENSG00000154342",21.1495765370647,7.72545165177326,0.633264631299521,12.1994049090029,3.13103803420988e-34,1.55374257554343e-32,"WNT3A",2,2
"ENSG00000154553",68.0593200850137,1.89218568348913,0.184471849362402,10.2573140022674,1.09716100294273e-24,3.41558136946067e-23,"PDLIM3",2,2
"ENSG00000154639",576.904894289262,1.09603890758861,0.0877481265959187,12.4907385503042,8.38714249918232e-36,4.39835510745763e-34,"CXADR",2,2
