"","fe_info.coord...1.","gene_converter.names.fe_info.coord...1.....ENSEMBL....SYMBOL.."
"ENSG00000185551",-0.88276886295771,"NR2F2"
"ENSG00000226928",-0.832822086164296,NA
"ENSG00000089225",-0.546803469692536,"TBX5"
"ENSG00000169306",-0.804210339361878,"IL1RAPL1"
"ENSG00000163661",-0.870883235427043,"PTX3"
"ENSG00000275464",0.458047173518332,"LOC102724159"
"ENSG00000137285",-0.770277176742021,"TUBB2B"
"ENSG00000158555",-0.561245388921883,"GDPD5"
"ENSG00000170381",0.427873330864574,"SEMA3E"
"ENSG00000149218",-0.82075816067871,"ENDOD1"
"ENSG00000114315",0.229511690841229,"HES1"
"ENSG00000136546",0.488616853023862,"SCN7A"
"ENSG00000188906",0.626167735964214,"LRRK2"
"ENSG00000144810",0.0509809319362684,"COL8A1"
"ENSG00000104267",-0.507980425290609,"CA2"
"ENSG00000091879",-0.63651134944394,"ANGPT2"
"ENSG00000164946",0.639278204237343,"FREM1"
"ENSG00000131149",0.748129983390399,"GSE1"
"ENSG00000143195",-0.870151891714277,"ILDR2"
"ENSG00000198910",-0.573098605356099,"L1CAM"
"ENSG00000125740",-0.803683538142259,"FOSB"
"ENSG00000108821",-0.636863581343732,"COL1A1"
"ENSG00000067798",-0.602301248165995,"NAV3"
"ENSG00000120549",-0.820826446011316,"KIAA1217"
"ENSG00000155966",0.737509803514202,"AFF2"
"ENSG00000121310",0.7928035036683,"ECHDC2"
"ENSG00000186960",0.624646237977821,"LINC01551"
"ENSG00000201700",-0.36587226775211,"SNORD113-3"
"ENSG00000125462",-0.107746386632762,"MIR9-1HG"
"ENSG00000273540",-0.640299080890259,"AGBL1"
"ENSG00000198914",-0.371969995718748,"POU3F3"
"ENSG00000104332",0.812463813629069,"SFRP1"
"ENSG00000274422",0.686457092297335,NA
"ENSG00000232938",0.414442591493872,"RPL23AP87"
"ENSG00000249992",-0.676042302629236,"TMEM158"
"ENSG00000244694",-0.795481615823212,"PTCHD4"
"ENSG00000004848",0.45047698108414,"ARX"
"ENSG00000148175",0.822046347175131,"STOM"
"ENSG00000185483",-0.662655747177239,"ROR1"
"ENSG00000241945",-0.329268426967029,"PWP2"
"ENSG00000134817",-0.81843473860643,"APLNR"
"ENSG00000137959",0.770520991343026,"IFI44L"
"ENSG00000198756",-0.850421825614165,"COLGALT2"
"ENSG00000185869",0.399363651191367,"ZNF829"
"ENSG00000100311",-0.466819064894954,"PDGFB"
"ENSG00000128610",0.347345161622023,"FEZF1"
"ENSG00000075290",-0.565822752267055,"WNT8B"
"ENSG00000279099",0.078467548421056,NA
"ENSG00000182393",-0.12818465542031,"IFNL1"
"ENSG00000189292",-0.79250003855953,"ALKAL2"
"ENSG00000251095",-0.762910843202411,NA
"ENSG00000177469",-0.794085751490951,"CAVIN1"
"ENSG00000048392",-0.757878007525945,"RRM2B"
"ENSG00000132205",-0.817874816524694,"EMILIN2"
"ENSG00000138496",0.476149022710522,"PARP9"
"ENSG00000165259",0.39256266657291,"HDX"
"ENSG00000278957",0.70840758764611,NA
"ENSG00000148704",0.524590710049346,"VAX1"
"ENSG00000170477",0.662757446257639,"KRT4"
"ENSG00000087086",-0.722898988667399,"FTL"
"ENSG00000164932",-0.799943963757544,"CTHRC1"
"ENSG00000113916",-0.746207931293127,"BCL6"
"ENSG00000118946",-0.801278830285876,"PCDH17"
"ENSG00000141052",0.617936612572855,"MYOCD"
"ENSG00000160789",-0.799646316139549,"LMNA"
"ENSG00000125148",-0.814047526468315,"MT2A"
"ENSG00000181381",0.28888350391452,"DDX60L"
"ENSG00000126709",0.310920833248135,"IFI6"
"ENSG00000233237",-0.747416518084193,"LINC00472"
"ENSG00000185442",0.348448158060727,"FAM174B"
"ENSG00000106003",-0.579333737943041,"LFNG"
"ENSG00000165072",-0.664931206881655,"MAMDC2"
"ENSG00000135114",-0.21090561734376,"OASL"
