"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","clusters"
"ENSG00000128228",23.8668901716948,0.551597658368805,0.149949151966966,3.67856470765719,0.000234550187112015,0.00108718639138728,"SDF2L1",NA
"ENSG00000128242",10.5922829636252,-0.272659905536736,0.287624942281237,-0.947970309439059,0.34314456938605,0.496001525976001,"GAL3ST1",NA
"ENSG00000128245",259.349749773452,-0.171110349921301,0.064550988962387,-2.65077813170306,0.00803065759918159,0.0244819346774605,"YWHAH",NA
"ENSG00000128253",1.22128677724323,0.726287282073518,0.59062884933921,1.2296847383701,0.218815184028052,0.357040745101759,"RFPL2",NA
"ENSG00000128254",4.42630689077539,0.247883187997394,0.425095595245034,0.583123398054757,0.559810233555106,0.692941381958751,"YWHAH-AS1",NA
"ENSG00000128266",86.6092817254454,0.119234234653665,0.0898858052051845,1.32650794395718,0.184671505584119,0.314771754702044,"GNAZ",NA
"ENSG00000128268",108.410116397809,0.394124301061939,0.0838063133866649,4.70279964760569,2.5661820527377e-06,1.78162632145836e-05,"MGAT3",NA
"ENSG00000128272",711.20440549747,-0.499302694871277,0.0549340590786089,-9.08912800630281,9.98365221751159e-20,2.68870566330396e-18,"ATF4",NA
"ENSG00000128274",5.61794583804027,-0.252208041247769,0.297897225680024,-0.846627694071477,0.397202672575702,0.550853681066093,"A4GALT",NA
"ENSG00000128283",27.2799859397009,-1.42182404731276,0.255278652469639,-5.56969426764686,2.55186718816754e-08,2.4456032492008e-07,"CDC42EP1",2
"ENSG00000128285",3.25437273424826,-2.59369382122274,0.53544438842307,-4.84400224804184,1.27249491178226e-06,9.34500060309699e-06,"MCHR1",2
"ENSG00000128294",76.7380013912658,-0.19106238799023,0.147041112755369,-1.29938072699503,0.193813302502089,0.326368579395832,"TPST2",NA
"ENSG00000128298",5.81794883290575,-1.19796174051055,0.311331291003806,-3.84786809140846,0.00011915017460285,0.000589684038070658,"BAIAP2L2",2
"ENSG00000128309",159.599697843459,0.101824914401226,0.0860963196475535,1.18268602906675,0.236933603169515,0.378413932228699,"MPST",NA
"ENSG00000128311",48.8783751116981,0.206869238958145,0.105975385940072,1.95204987576197,0.0509322833888354,0.114712036052732,"TST",NA
"ENSG00000128335",209.46728510522,-0.101706834022823,0.134254236357048,-0.757568898997972,0.448709104751834,0.59923852265226,"APOL2",NA
"ENSG00000128342",9.91733931242138,-1.41550191717095,0.270318801397966,-5.2364168154439,1.63723981236261e-07,1.3804433257208e-06,"LIF",2
"ENSG00000128394",27.0711950670891,0.568483435739425,0.157939152684667,3.59938258548485,0.000318973614883245,0.00143272502411081,"APOBEC3F",NA
"ENSG00000128408",5.20974543490414,0.728381192647416,0.325897866935468,2.2349983431823,0.0254174575164793,0.065109495187364,"RIBC2",NA
"ENSG00000128422",202.884833493161,-3.65410546665156,0.193524026086636,-18.8819214882172,1.60634447488045e-79,3.94336974423215e-77,"KRT17",2
"ENSG00000128463",18.3141491775182,-0.328543592702995,0.210309904259079,-1.56218792386623,0.118243724633946,0.224638440251096,"EMC4",NA
"ENSG00000128482",2.8365100201963,-0.0642471694352955,0.432701570815862,-0.148479168481309,0.881964624867514,0.926863029930379,"RNF112",NA
"ENSG00000128487",130.82714401371,-0.243938526249887,0.0720225583793453,-3.38697391121619,0.000706681075064589,0.00289940630497895,"SPECC1",NA
"ENSG00000128510",4.26851867920474,-0.332562752078302,0.417495802971053,-0.796565497692823,0.425703422081073,0.577865385368523,"CPA4",NA
"ENSG00000128512",43.5688735622141,0.122950812857822,0.108448630150727,1.13372398237709,0.256910346535859,0.402069416875246,"DOCK4",NA
"ENSG00000128513",62.0835485457357,0.0311442991263282,0.0947196173329636,0.328805162048407,0.742302961089746,0.83372813456155,"POT1",NA
"ENSG00000128524",181.674530481712,-0.0464038370405759,0.064691355755294,-0.7173112465923,0.473182069263173,0.622068924318122,"ATP6V1F",NA
"ENSG00000128534",309.569971698688,0.0274536028703168,0.0502889872724141,0.545916797282104,0.585123131459268,0.713672063264034,"LSM8",NA
"ENSG00000128536",7.9711835892344,1.05138340633756,0.37090144733531,2.83467054089725,0.00458729662946656,0.0150149668138506,"CDHR3",NA
"ENSG00000128563",115.984452970941,0.204241371734477,0.0758472457179346,2.6927987931694,0.00708550149280011,0.0219856072896024,"PRKRIP1",NA
"ENSG00000128564",272.791952300573,-2.93695038024583,0.358769833653981,-8.1861686929855,2.69673663039869e-16,5.66196414461339e-15,"VGF",2
"ENSG00000128567",594.542074971003,0.416819213053648,0.0627530210263641,6.64221747792081,3.08998572615245e-11,4.16376120227777e-10,"PODXL",NA
"ENSG00000128573",25.2311845172644,0.842214603426954,0.385065126948899,2.18720040970815,0.0287278970007784,0.0719198825780541,"FOXP2",NA
"ENSG00000128578",24.9524621323063,-0.238470727656813,0.148734277742918,-1.60333402142175,0.10886092912301,0.210312436484366,"STRIP2",NA
"ENSG00000128581",62.2325311627979,0.27111290804159,0.170281300297488,1.59214727376374,0.111351617149898,0.21408444965761,"IFT22",NA
"ENSG00000128585",103.057618290266,-0.225504862474482,0.0765937977718805,-2.94416609483321,0.00323826161316071,0.0110666131302519,"MKLN1",NA
"ENSG00000128590",55.8438019068163,0.0844803546230716,0.144719056343656,0.583754183847501,0.55938570700116,0.69264857201618,"DNAJB9",NA
"ENSG00000128591",244.248669054364,-0.935456241732401,0.165602370737121,-5.64880948001256,1.61562786769017e-08,1.59793607492414e-07,"FLNC",NA
"ENSG00000128594",89.0281133244988,-0.593604485947132,0.196017597833557,-3.028322418537,0.00245915561560041,0.00872483078145573,"LRRC4",NA
"ENSG00000128595",1299.30603951261,-0.414524387050937,0.10058724661155,-4.1210431840505,3.77160714000317e-05,0.000208423473352902,"CALU",NA
"ENSG00000128596",136.880123766898,0.0756237748089717,0.0940113250585749,0.804411327697523,0.421159461267383,0.573587207974005,"CCDC136",NA
"ENSG00000128602",121.722169019238,0.460335647654367,0.10519547195953,4.37600249401861,1.20875631296681e-05,7.34304120580215e-05,"SMO",NA
"ENSG00000128604",2.82364661499403,-0.163446291256991,0.419172876367669,-0.389925733442798,0.696591464527698,0.800139973771828,"IRF5",NA
"ENSG00000128606",12.7168139653109,-0.171774955577765,0.22357007300805,-0.768327143551006,0.442292852497791,0.593151949826846,"LRRC17",NA
"ENSG00000128607",206.255293562506,0.228550764145782,0.0613851103776849,3.72322803917066,0.000196691716058729,0.000927420088424662,"KLHDC10",NA
"ENSG00000128609",264.570659149858,0.108918016396915,0.0516162809125932,2.11014847391574,0.0348455691020359,0.0842027962097152,"NDUFA5",NA
"ENSG00000128610",27.0437940732406,1.45819070811593,0.540046732066396,2.70011949250468,0.00693145756058614,0.0215670375967019,"FEZF1",NA
"ENSG00000128626",67.6060283247035,-0.163807212015246,0.0966466527780518,-1.69490827987006,0.0900928215746211,0.181070446336911,"MRPS12",NA
"ENSG00000128641",162.442084017017,-0.443546983757636,0.0747631610626654,-5.93269435712945,2.98003296339577e-09,3.24029932896662e-08,"MYO1B",NA
"ENSG00000128654",106.141839528821,0.0668084801942641,0.0735852570315596,0.907905780170217,0.363928003486479,0.516567339567021,"MTX2",NA
"ENSG00000128655",19.8465230164508,4.37313393170274,0.522576802633541,8.36840424156641,5.84037371514756e-17,1.28394346610385e-15,"PDE11A",1
